IndividualID,SpeciesName,Date,Site,StableIsotope,LiveMeasure,Height-MaxLength,Width-BarnacleHeight,Aperature-LimpetHeight,WholeWeight-AirDry,ShellWeight-OvenDry,ShellWeightWithOperculum,TissueWeight-Wet,TissueWetWithOperculum/Plates/Mantle,Operculum/MantleWeight,TissueWeight-OvenDry,ImmersedWholeWeight,FoilNumber,AshFreeDryMass,Comment
3034,Haustrum haustorium,6/15/2007,JacksonHead,TRUE,FALSE,42.40,27.60,34.30,8.877,,FALSE,0.914,FALSE,0.069,,,2343,,
3033,Haustrum haustorium,6/15/2007,JacksonHead,TRUE,FALSE,27.50,18.30,20.20,3.002,,FALSE,0.193,FALSE,0.012,,,2342,,
3032,Haustrum haustorium,6/15/2007,JacksonHead,TRUE,FALSE,26.80,18.10,20.70,2.748,,FALSE,0.219,FALSE,0.017,,,2341,,
3031,Haustrum scobina,5/18/2007,CapeFoulwind,TRUE,FALSE,13.80,9.60,10.50,0.542,,FALSE,0.046,FALSE,0.003,,,2340,,
3030,Haustrum scobina,5/18/2007,CapeFoulwind,TRUE,FALSE,12.80,9.20,10.30,0.474,,FALSE,0.047,FALSE,0.001,,,2339,,
3029,Haustrum scobina,5/18/2007,CapeFoulwind,TRUE,FALSE,13.90,8.80,9.90,0.502,,FALSE,0.033,FALSE,0.001,,,2338,,
3028,Haustrum scobina,5/18/2007,CapeFoulwind,TRUE,FALSE,13.50,9.50,10.60,0.600,,FALSE,0.050,FALSE,0.002,,,2337,,
3027,Haustrum scobina,5/18/2007,CapeFoulwind,TRUE,FALSE,13.10,9.20,10.50,0.458,,FALSE,0.050,FALSE,0.001,,,2336,,
3026,Haustrum haustorium,5/18/2007,CapeFoulwind,TRUE,FALSE,43.70,29.10,35.20,11.755,,FALSE,1.120,FALSE,0.075,,,2335,,
3025,Haustrum haustorium,5/18/2007,CapeFoulwind,TRUE,FALSE,28.20,19.00,22.00,3.398,,FALSE,0.278,FALSE,0.024,,,2334,,
3024,Haustrum haustorium,5/18/2007,CapeFoulwind,TRUE,FALSE,29.60,19.70,23.30,4.152,,FALSE,0.274,FALSE,0.022,,,2333,,
3023,Haustrum haustorium,5/18/2007,CapeFoulwind,TRUE,FALSE,25.80,17.40,20.70,2.760,,FALSE,0.173,FALSE,0.018,,,2332,,
3022,Haustrum haustorium,5/18/2007,CapeFoulwind,TRUE,FALSE,45.20,29.60,35.90,11.993,,FALSE,1.195,FALSE,0.083,,,2331,,
3021,Haustrum haustorium,5/18/2007,CapeFoulwind,TRUE,FALSE,41.30,28.30,33.80,10.771,,FALSE,0.948,FALSE,0.067,,,2330,,
3020,Haustrum haustorium,5/18/2007,CapeFoulwind,TRUE,FALSE,39.70,25.60,31.60,8.223,,FALSE,0.716,FALSE,0.050,,,2329,,
3019,Haustrum haustorium,5/18/2007,CapeFoulwind,TRUE,FALSE,44.60,29.50,35.30,13.861,,FALSE,1.117,FALSE,0.096,,,2328,,
3018,Haustrum haustorium,5/18/2007,CapeFoulwind,TRUE,FALSE,43.40,28.40,35.20,11.594,,FALSE,1.113,FALSE,0.080,,,2327,,
3017,Haustrum haustorium,5/18/2007,CapeFoulwind,TRUE,FALSE,39.40,28.00,32.10,10.463,,FALSE,0.859,FALSE,0.062,,,2326,,
3016,Haustrum haustorium,5/18/2007,CapeFoulwind,TRUE,FALSE,26.00,18.30,21.90,3.173,,FALSE,0.245,FALSE,0.020,,,2325,,"broken shell end, true height ~28mm"
3015,Haustrum haustorium,5/18/2007,CapeFoulwind,TRUE,FALSE,29.10,18.50,22.00,3.357,,FALSE,0.253,FALSE,0.024,,,2324,,
3014,Haustrum haustorium,5/18/2007,CapeFoulwind,TRUE,FALSE,41.40,28.10,34.50,10.243,,FALSE,1.051,FALSE,0.071,,,2323,,
3013,Haustrum haustorium,5/18/2007,CapeFoulwind,TRUE,FALSE,41.20,28.20,33.50,11.323,,FALSE,1.090,FALSE,0.078,,,2322,,
3012,Haustrum haustorium,5/18/2007,CapeFoulwind,TRUE,FALSE,42.50,28.30,33.80,11.462,,FALSE,1.163,FALSE,0.080,,,2321,,
3011,Haustrum haustorium,6/15/2007,OkahuPoint,TRUE,FALSE,13.00,7.80,9.10,0.295,,FALSE,0.014,FALSE,0.002,,,2318,,
3010,Haustrum haustorium,6/15/2007,OkahuPoint,TRUE,FALSE,11.50,6.40,7.50,0.192,,FALSE,0.009,FALSE,0.001,,,2317,,
3009,Haustrum scobina,5/18/2007,CapeFoulwind,TRUE,FALSE,12.70,9.50,10.70,0.459,,FALSE,0.045,FALSE,0.001,,,2316,,
3008,Haustrum haustorium,6/15/2007,OkahuPoint,TRUE,FALSE,28.20,18.90,21.10,3.277,,FALSE,0.219,FALSE,0.020,,,2314,,Broken shell tip
3007,Haustrum scobina,6/15/2007,OkahuPoint,TRUE,FALSE,13.40,10.00,10.40,0.563,,FALSE,0.052,FALSE,0.004,,,2313,,
3006,Haustrum scobina,5/18/2007,CapeFoulwind,TRUE,FALSE,12.80,8.80,10.50,0.425,,FALSE,0.043,FALSE,0.001,,,2312,,
3005,Haustrum scobina,6/15/2007,OkahuPoint,TRUE,FALSE,12.50,9.00,10.50,0.444,,FALSE,0.030,FALSE,0.003,,,2311,,
3004,Haustrum scobina,5/18/2007,CapeFoulwind,TRUE,FALSE,12.10,8.70,9.80,0.383,,FALSE,0.038,FALSE,0.001,,,2310,,
3003,Haustrum scobina,6/15/2007,OkahuPoint,TRUE,FALSE,13.60,9.50,10.20,0.472,,FALSE,0.044,FALSE,0.003,,,2306,,
3002,Haustrum haustorium,6/15/2007,OkahuPoint,TRUE,FALSE,13.20,7.80,9.10,0.303,,FALSE,0.012,FALSE,0.001,,,2305,,
3001,Haustrum haustorium,7/9/2007,Rakautara,TRUE,FALSE,44.30,29.40,35.50,13.380,,FALSE,1.138,FALSE,0.097,,,2303,,
1770,Haustrum scobina,7/20/2007,TaurangaHead,TRUE,FALSE,14.40,11.00,11.80,0.738,,FALSE,0.298,FALSE,0.003,0.064,,2301,,"F1, tisue weight = sample weight only"
3000,Haustrum haustorium,6/15/2007,OkahuPoint,TRUE,FALSE,42.20,27.80,33.10,9.563,,FALSE,0.765,FALSE,0.070,,,2298,,
2999,Haustrum haustorium,6/15/2007,OkahuPoint,TRUE,FALSE,40.80,26.80,32.00,9.620,,FALSE,0.755,FALSE,0.072,,,2297,,
2998,Haustrum haustorium,6/15/2007,OkahuPoint,TRUE,FALSE,42.20,26.90,31.40,11.251,,FALSE,0.976,FALSE,0.082,,,2295,,
2997,Haustrum haustorium,6/15/2007,OkahuPoint,TRUE,FALSE,41.30,29.00,33.10,11.248,,FALSE,0.893,FALSE,0.083,,,2293,,broken shell tip
2996,Haustrum haustorium,6/15/2007,OkahuPoint,TRUE,FALSE,43.10,28.90,35.00,10.058,,FALSE,0.951,FALSE,0.077,,,2292,,
2995,Haustrum haustorium,6/15/2007,OkahuPoint,TRUE,FALSE,41.30,26.40,29.70,9.274,,FALSE,0.655,FALSE,0.070,,,2291,,
2994,Haustrum haustorium,6/15/2007,OkahuPoint,TRUE,FALSE,40.10,27.60,31.80,9.441,,FALSE,0.838,FALSE,0.066,,,2290,,
1771,Haustrum scobina,7/20/2007,TaurangaHead,TRUE,FALSE,16.60,11.10,12.00,0.891,,FALSE,0.297,FALSE,0.004,0.091,,2289,,"F1, tisue weight = sample weight only"
2993,Haustrum haustorium,6/15/2007,OkahuPoint,TRUE,FALSE,42.40,29.10,33.80,11.359,,FALSE,1.039,FALSE,0.083,,,2288,,
2992,Haustrum scobina,6/15/2007,JacksonHead,TRUE,FALSE,11.80,8.10,9.20,0.354,,FALSE,0.017,FALSE,0.001,,,2287,,
2991,Haustrum haustorium,6/15/2007,OkahuPoint,TRUE,FALSE,12.20,6.30,8.20,0.197,,FALSE,0.008,FALSE,0.001,,,2286,,
2989,Haustrum haustorium,7/9/2007,Rakautara,TRUE,FALSE,41.80,28.90,36.00,12.407,,FALSE,1.159,FALSE,0.088,,,2284,,
2990,Haustrum scobina,6/15/2007,JacksonHead,TRUE,FALSE,12.30,9.30,10.30,0.533,,FALSE,0.036,FALSE,0.002,,,2284,,
2988,Haustrum scobina,6/15/2007,JacksonHead,TRUE,FALSE,11.10,7.50,8.60,0.298,,FALSE,0.016,FALSE,0.001,,,2283,,
1769,Haustrum scobina,7/20/2007,TaurangaHead,TRUE,FALSE,14.80,10.40,11.40,0.662,,FALSE,0.204,FALSE,0.002,0.071,,2282,,"C2, tisue weight = sample weight only"
2987,Haustrum scobina,6/15/2007,JacksonHead,TRUE,FALSE,12.90,8.50,9.50,0.394,,FALSE,0.017,FALSE,0.003,,,2281,,
2986,Haustrum scobina,6/15/2007,JacksonHead,TRUE,FALSE,12.60,8.10,9.00,0.349,,FALSE,0.015,FALSE,0.002,,,2280,,
2985,Haustrum haustorium,6/15/2007,OkahuPoint,TRUE,FALSE,14.70,8.60,10.50,0.419,,FALSE,0.013,FALSE,0.002,,,2279,,
2984,Haustrum scobina,6/15/2007,JacksonHead,TRUE,FALSE,11.50,9.00,10.30,0.465,,FALSE,0.039,FALSE,0.001,,,2278,,
2983,Haustrum haustorium,6/15/2007,OkahuPoint,TRUE,FALSE,43.80,28.30,33.70,10.653,,FALSE,1.017,FALSE,0.074,,,2277,,
2982,Haustrum haustorium,6/15/2007,OkahuPoint,TRUE,FALSE,26.00,16.80,19.60,2.518,,FALSE,0.163,FALSE,0.015,,,2276,,
2981,Haustrum scobina,6/15/2007,OkahuPoint,TRUE,FALSE,14.80,10.80,11.10,0.719,,FALSE,0.062,FALSE,0.003,,,2274,,
2980,Haustrum scobina,5/18/2007,CapeFoulwind,TRUE,FALSE,13.40,10.10,11.00,0.631,,FALSE,0.060,FALSE,0.001,,,2272,,
2979,Haustrum scobina,6/15/2007,OkahuPoint,TRUE,FALSE,13.40,9.30,10.90,0.518,,FALSE,0.051,FALSE,0.002,,,2271,,
1765,Haustrum scobina,7/20/2007,TaurangaHead,TRUE,FALSE,14.80,10.30,11.20,0.744,,FALSE,0.259,FALSE,0.003,0.056,,2270,,"E1, tisue weight = sample weight only"
2978,Haustrum scobina,6/15/2007,OkahuPoint,TRUE,FALSE,13.50,10.20,10.90,0.685,,FALSE,0.056,FALSE,0.003,,,2269,,
2977,Haustrum haustorium,6/15/2007,OkahuPoint,TRUE,FALSE,40.60,26.20,31.70,10.142,,FALSE,0.866,FALSE,0.068,,,2267,,
1768,Haustrum scobina,7/20/2007,TaurangaHead,TRUE,FALSE,15.20,10.40,11.00,0.659,,FALSE,0.268,FALSE,0.004,0.050,,2266,,"C2, tisue weight = sample weight only"
2976,Haustrum scobina,6/15/2007,JacksonHead,TRUE,FALSE,14.80,11.20,12.10,0.937,,FALSE,0.067,FALSE,0.002,,,2265,,
2975,Haustrum scobina,6/15/2007,JacksonHead,TRUE,FALSE,13.50,9.70,11.10,0.615,,FALSE,0.035,FALSE,0.001,,,2264,,
1766,Haustrum scobina,7/20/2007,TaurangaHead,TRUE,FALSE,14.70,9.90,10.70,0.700,,FALSE,0.235,FALSE,0.003,0.058,,2261,,"E1, tisue weight = sample weight only"
2974,Haustrum scobina,5/18/2007,CapeFoulwind,TRUE,FALSE,14.30,9.20,10.40,0.445,,FALSE,0.040,FALSE,0.003,,,2260,,
1760,Haustrum scobina,7/20/2007,TaurangaHead,TRUE,FALSE,15.10,10.40,10.90,0.632,,FALSE,0.266,FALSE,0.003,0.066,,2259,,"B1, tisue weight = sample weight only"
1761,Haustrum scobina,7/20/2007,TaurangaHead,TRUE,FALSE,15.40,11.10,11.90,0.920,,FALSE,0.349,FALSE,0.004,0.069,,2258,,"D3, tisue weight = sample weight only"
2973,Haustrum scobina,6/15/2007,OkahuPoint,TRUE,FALSE,12.60,8.20,9.10,0.375,,FALSE,0.025,FALSE,0.001,,,2257,,
2972,Haustrum scobina,6/15/2007,JacksonHead,TRUE,FALSE,13.30,10.60,11.20,0.689,,FALSE,0.037,FALSE,0.001,,,2256,,
2971,Haustrum scobina,6/15/2007,JacksonHead,TRUE,FALSE,13.60,10.20,10.90,0.678,,FALSE,0.042,FALSE,0.002,,,2255,,
1762,Haustrum scobina,7/20/2007,TaurangaHead,TRUE,FALSE,15.90,11.30,11.80,0.953,,FALSE,0.389,FALSE,0.004,0.076,,2254,,"D3, tisue weight = sample weight only"
1767,Haustrum scobina,7/20/2007,TaurangaHead,TRUE,FALSE,15.50,11.10,11.00,0.776,,FALSE,0.312,FALSE,0.003,0.064,,2253,,"C2, tisue weight = sample weight only"
1755,Haustrum scobina,7/20/2007,TaurangaHead,TRUE,FALSE,14.10,9.80,11.40,0.677,,FALSE,0.189,FALSE,0.004,0.056,,2252,,"A4, tisue weight = sample weight only"
1757,Haustrum scobina,7/20/2007,TaurangaHead,TRUE,FALSE,14.90,10.10,10.90,0.783,,FALSE,0.210,FALSE,0.003,0.057,,2251,,"A4, tisue weight = sample weight only"
1772,Haustrum scobina,7/20/2007,TaurangaHead,TRUE,FALSE,12.30,8.70,9.20,0.367,,FALSE,0.092,FALSE,0.001,0.030,,2250,,"F1, tisue weight = sample weight only"
2970,Haustrum scobina,6/15/2007,OkahuPoint,TRUE,FALSE,12.90,9.50,10.70,0.489,,FALSE,0.043,FALSE,0.002,,,2249,,
1758,Haustrum scobina,7/20/2007,TaurangaHead,TRUE,FALSE,16.40,10.90,12.00,0.915,,FALSE,0.368,FALSE,0.003,0.079,,2248,,"B1, tisue weight = sample weight only"
1756,Haustrum scobina,7/20/2007,TaurangaHead,TRUE,FALSE,16.40,11.30,12.60,0.937,,FALSE,0.362,FALSE,0.004,0.081,,2247,,"A4, tisue weight = sample weight only"
1763,Haustrum scobina,7/20/2007,TaurangaHead,TRUE,FALSE,16.40,11.70,12.50,1.029,,FALSE,0.371,FALSE,0.003,0.087,,2246,,"D3, tisue weight = sample weight only"
1764,Haustrum scobina,7/20/2007,TaurangaHead,TRUE,FALSE,15.30,10.60,11.60,0.794,,FALSE,0.300,FALSE,0.004,0.054,,2245,,"E1, tisue weight = sample weight only"
1759,Haustrum scobina,7/20/2007,TaurangaHead,TRUE,FALSE,15.00,10.40,11.30,0.824,,FALSE,0.345,FALSE,0.004,0.065,,2244,,"B1, tisue weight = sample weight only"
1539,Benhamina obliquata,8/10/2006,PaiaPoint,FALSE,FALSE,35.00,23.30,14.30,6.501,1.818,FALSE,4.608,FALSE,,1.109,,2243,,Height includes foot (since not entirely retractable)
1540,Benhamina obliquata,8/10/2006,PaiaPoint,FALSE,FALSE,38.50,24.80,12.80,6.723,2.876,FALSE,3.719,FALSE,,0.579,,2242,,Height includes foot (since not entirely retractable)
1541,Benhamina obliquata,8/10/2006,PaiaPoint,FALSE,FALSE,44.20,28.30,15.70,11.236,4.446,FALSE,6.555,FALSE,,1.190,,2241,,Height includes foot (since not entirely retractable)
2969,Haustrum scobina,6/15/2007,OkahuPoint,TRUE,FALSE,11.40,7.60,8.50,0.297,,FALSE,0.016,FALSE,0.002,,,2240,,
2968,Haustrum scobina,6/15/2007,OkahuPoint,TRUE,FALSE,14.70,10.30,10.80,0.742,,FALSE,0.040,FALSE,0.002,,,2239,,
1525,Benhamina obliquata,8/10/2006,PaiaPoint,FALSE,FALSE,8.20,5.20,3.00,0.083,0.030,FALSE,0.051,FALSE,,0.012,,2238,,Height includes foot (since not entirely retractable)
1526,Benhamina obliquata,8/10/2006,PaiaPoint,FALSE,FALSE,15.00,8.90,5.60,0.327,0.141,FALSE,0.174,FALSE,,0.034,,2237,,Height includes foot (since not entirely retractable)
1527,Benhamina obliquata,8/10/2006,PaiaPoint,FALSE,FALSE,12.80,9.00,4.70,0.289,0.132,FALSE,0.150,FALSE,,0.034,,2236,,Height includes foot (since not entirely retractable)
1528,Benhamina obliquata,8/10/2006,PaiaPoint,FALSE,FALSE,14.60,9.90,6.40,0.381,0.194,FALSE,0.176,FALSE,,0.032,,2235,,Height includes foot (since not entirely retractable)
1530,Benhamina obliquata,8/10/2006,PaiaPoint,FALSE,FALSE,15.50,9.70,4.90,0.400,0.174,FALSE,0.194,FALSE,,0.033,,2234,,Height includes foot (since not entirely retractable)
1531,Benhamina obliquata,8/10/2006,PaiaPoint,FALSE,FALSE,18.10,11.60,8.50,0.935,0.413,FALSE,0.509,FALSE,,0.127,,2233,,Height includes foot (since not entirely retractable)
1529,Benhamina obliquata,8/10/2006,PaiaPoint,FALSE,FALSE,14.90,10.90,6.90,0.597,0.213,FALSE,0.370,FALSE,,0.105,,2232,,Height includes foot (since not entirely retractable)
1532,Benhamina obliquata,8/10/2006,PaiaPoint,FALSE,FALSE,16.10,12.10,8.20,0.778,0.227,FALSE,0.543,FALSE,,0.145,,2231,,Height includes foot (since not entirely retractable)
1533,Benhamina obliquata,8/10/2006,PaiaPoint,FALSE,FALSE,17.50,12.90,5.70,0.572,0.245,FALSE,0.319,FALSE,,0.065,,2230,,Height includes foot (since not entirely retractable)
1534,Benhamina obliquata,8/10/2006,PaiaPoint,FALSE,FALSE,17.00,12.00,8.00,0.730,0.279,FALSE,0.438,FALSE,,0.121,,2229,,Height includes foot (since not entirely retractable)
1535,Benhamina obliquata,8/10/2006,PaiaPoint,FALSE,FALSE,16.80,11.00,6.40,0.606,0.217,FALSE,0.381,FALSE,,0.087,,2228,,Height includes foot (since not entirely retractable)
1536,Benhamina obliquata,8/10/2006,PaiaPoint,FALSE,FALSE,17.20,11.50,7.20,0.698,0.291,FALSE,0.396,FALSE,,0.082,,2227,,Height includes foot (since not entirely retractable)
1538,Benhamina obliquata,8/10/2006,PaiaPoint,FALSE,FALSE,34.00,22.50,12.40,5.110,1.539,FALSE,3.511,FALSE,,0.906,,2226,,Height includes foot (since not entirely retractable)
1537,Benhamina obliquata,8/10/2006,PaiaPoint,FALSE,FALSE,30.50,20.80,14.70,4.803,1.472,FALSE,3.267,FALSE,,0.766,,2225,,Height includes foot (since not entirely retractable)
1321,Acanthochitona zelandica,6/11/2006,LighthouseReef,FALSE,FALSE,26.70,13.70,,1.812,0.643,FALSE,0.340,FALSE,,0.080,,2105,,Mark_Novak
1335,Acanthochitona zelandica,6/11/2006,LighthouseReef,FALSE,FALSE,7.20,4.10,,0.046,0.019,FALSE,0.013,FALSE,,0.003,,2104,,Mark_Novak
2967,Haustrum haustorium,6/15/2007,OkahuPoint,TRUE,FALSE,26.20,17.20,20.30,2.610,,FALSE,0.148,FALSE,0.014,,,2103,,Broken shell tip
1339,Acanthochitona zelandica,6/11/2006,LighthouseReef,FALSE,FALSE,9.90,5.30,,0.113,0.044,FALSE,0.039,FALSE,,0.009,,2102,,Mark_Novak
1324,Acanthochitona zelandica,6/11/2006,LighthouseReef,FALSE,FALSE,19.60,11.10,,0.896,0.294,FALSE,0.167,FALSE,,,,2101,,Mark_Novak
2966,Haustrum haustorium,6/15/2007,OkahuPoint,TRUE,FALSE,28.60,18.90,22.30,3.805,,FALSE,0.209,FALSE,0.022,,,2100,,
1338,Acanthochitona zelandica,6/11/2006,LighthouseReef,FALSE,FALSE,13.30,6.90,,0.271,0.107,FALSE,0.082,FALSE,,0.017,,2075,,Mark_Novak
1359,Onchidella nigricans,6/11/2006,CapeFoulwind,FALSE,FALSE,13.10,9.20,,0.209,,FALSE,,FALSE,,0.048,,2074,,Mark_Novak
1330,Acanthochitona zelandica,6/11/2006,LighthouseReef,FALSE,FALSE,18.50,11.40,,0.620,0.203,FALSE,0.076,FALSE,,0.037,,2073,,Mark_Novak
1327,Acanthochitona zelandica,6/11/2006,LighthouseReef,FALSE,FALSE,17.90,10.70,,0.495,0.177,FALSE,0.043,FALSE,,0.022,,2072,,Mark_Novak
1326,Acanthochitona zelandica,6/11/2006,LighthouseReef,FALSE,FALSE,20.70,11.30,,0.911,0.319,FALSE,0.153,FALSE,,0.048,,2071,,Mark_Novak
1340,Acanthochitona zelandica,6/11/2006,LighthouseReef,FALSE,FALSE,17.70,10.40,,0.691,0.254,FALSE,0.192,FALSE,,0.037,,2070,,Mark_Novak
1333,Acanthochitona zelandica,6/11/2006,LighthouseReef,FALSE,FALSE,9.00,4.00,,0.059,0.025,FALSE,0.015,FALSE,,0.003,,2069,,Mark_Novak
1328,Acanthochitona zelandica,6/11/2006,LighthouseReef,FALSE,FALSE,21.20,14.10,,1.212,0.395,FALSE,0.242,FALSE,,0.071,,2068,,Mark_Novak
1337,Acanthochitona zelandica,6/11/2006,LighthouseReef,FALSE,FALSE,8.70,5.50,,0.064,0.024,FALSE,0.015,FALSE,,0.005,,2067,,Mark_Novak
1325,Acanthochitona zelandica,6/11/2006,LighthouseReef,FALSE,FALSE,23.00,13.20,,1.081,0.404,FALSE,0.197,FALSE,,0.056,,2066,,Mark_Novak
1376,Onithochiton neglectus neglectus,6/11/2006,RobynSeaTable,FALSE,FALSE,19.60,11.10,,0.598,0.230,FALSE,0.171,FALSE,,0.039,,2065,,Mark_Novak
1393,Onithochiton neglectus neglectus,6/11/2006,RobynSeaTable,FALSE,FALSE,10.60,7.00,,0.143,0.056,FALSE,0.039,FALSE,,0.010,,2064,,Mark_Novak
1389,Onithochiton neglectus neglectus,6/11/2006,RobynSeaTable,FALSE,FALSE,13.40,7.70,,0.266,0.109,FALSE,0.074,FALSE,,0.015,,2063,,Mark_Novak
1392,Onithochiton neglectus neglectus,6/11/2006,RobynSeaTable,FALSE,FALSE,10.70,7.10,,0.165,0.069,FALSE,0.045,FALSE,,0.012,,2062,,Mark_Novak
1385,Onithochiton neglectus neglectus,6/11/2006,RobynSeaTable,FALSE,FALSE,14.60,8.70,,0.366,0.143,FALSE,0.108,FALSE,,0.025,,2060,,Mark_Novak
1386,Onithochiton neglectus neglectus,6/11/2006,RobynSeaTable,FALSE,FALSE,12.50,7.40,,0.141,0.054,FALSE,0.042,FALSE,,0.010,,2059,,Mark_Novak
