10%_constrained,20%_constrained,30%_constrained,50%_constrained,10%_or_+/-_2hr24min,20%_or_+/-_2hr24min,30%_or_+/-_2hr24min,50%_or_+/-_2hr24min,Year,Expt/Location,Aerated/Flowthrough/Neither,Temp,Container/Individual_#,Pred,PredSource,PredSize,Prey,PreySource,PreySize,Risellopsis_varia height,Drilled?,Prey_post-consumption_Weight,with_operculum_or_radula?,operc_weight,est._%_consumed,leftover_tissue_weight_(dried),Comment,Start_1st,Start_2nd,Exact_Start,End_1st,End_2nd,Exact_End,Min_(days),Max_(days),Midpoint_(days),Min_(hours),Max_(hours),Midpoint_(hours),Contraint_Percentage_([max-min]/mid,Start_+_End_Windows,Window,Inverse Window (for Weighting),Both_Start_and_End_within_+/-2hr24min__window
1,1,1,1,1,1,1,1,2005,H-Times-BottomLab,Neither,10.0,c10-1,Haustrum haustorium,Check datasheets,17.8,Turbo smaragdus,EPFS Lab Rocks,4.9,,yes,0.060,YES,0.005,100,0.000,,6/10/2005 13:55,6/10/2005 14:15,,6/12/2005 3:10,,YES,1.54,1.55,1.55,36.92,37.25,37.08,0.01,0:20:00,0.01,41.86,1
1,1,1,1,1,1,1,1,2005,H-Times-BottomLab,Aerated,10.0,c10-1,Haustrum haustorium,Check datasheets,17.8,Turbo smaragdus,EPFS Lab Rocks,4.7,,yes,0.051,YES,0.004,100,0.000,,6/15/2005 14:10,6/15/2005 15:10,,6/16/2005 19:40,,YES,1.19,1.23,1.21,28.50,29.50,29.00,0.03,1:00:00,0.04,19.35,1
1,1,1,1,1,1,1,1,2005,H-Times-TopLab-aerated,Aerated,10.0,c21-1,Haustrum haustorium,Check datasheets,27.0,Cellana denticulata,EPFS Lab Rocks,15.3,,no,0.157,YES,,100,0.000,,6/9/2005 13:00,6/9/2005 14:30,,6/10/2005 22:00,,YES,1.31,1.38,1.34,31.50,33.00,32.25,0.05,1:30:00,0.06,13.79,1
0,0,1,1,0,0,1,1,2005,H-Times-TopLab,Aerated,10.0,c2-1,Haustrum haustorium,Check datasheets,24.0,Turbo smaragdus,EPFS Lab Rocks,7.7,,yes,0.170,YES,0.019,100,0.000,,6/8/2005 22:00,6/9/2005 8:15,,6/11/2005 11:00,6/11/2005 12:10,,2.11,2.59,2.35,50.75,62.17,56.46,0.20,11:25:00,0.48,2.06,0
0,0,0,1,0,0,0,1,2005,H-Times-BottomLab,Neither,10.0,c13-1 (org.61),Haustrum haustorium,Check datasheets,44.6,Diloma aethiops,EPFS Lab Rocks,17.7,,no,2.865,YES,,60,,,6/10/2005 23:15,6/11/2005 8:00,,6/12/2005 2:45,,YES,0.78,1.15,0.96,18.75,27.50,23.13,0.38,8:45:00,0.36,2.67,0
0,0,0,1,0,0,0,1,2005,H-Times-TopLab-aerated,Aerated,10.0,c8-1,Haustrum haustorium,Check datasheets,27.0,Haustrum scobina,Tauranga Head,11.1,,no,0.229,YES,,100,0.000,,6/9/2005 23:00,6/10/2005 8:10,,6/12/2005 2:20,6/12/2005 10:10,,1.76,2.47,2.11,42.17,59.17,50.67,0.34,17:00:00,0.71,1.39,0
0,0,1,1,0,0,1,1,2005,H-Times-BottomLab,Neither,10.0,c14-1,Haustrum haustorium,Check datasheets,23.1,Turbo smaragdus,EPFS Lab Rocks,4.4,,yes,0.050,YES,0.004,100,0.000,,6/9/2005 23:10,6/10/2005 8:15,,6/11/2005 19:52,,YES,1.48,1.86,1.67,35.62,44.70,40.16,0.23,9:05:00,0.38,2.57,0
1,1,1,1,1,1,1,1,2005,H-Times-BottomLab,Neither,10.0,c14-1,Haustrum haustorium,Check datasheets,23.1,Turbo smaragdus,EPFS Lab Rocks,5.3,,yes,0.086,YES,0.004,100,0.000,,6/12/2005 17:08,6/12/2005 18:08,,6/13/2005 11:12,,YES,0.71,0.75,0.73,17.07,18.07,17.57,0.06,1:00:00,0.04,19.35,1
0,1,1,1,1,1,1,1,2005,H-Times-TopLab,Aerated,10.0,c20-2,Haustrum haustorium,Check datasheets,27.6,Siphonaria australis,EPFS & ?Lighthouse Reef,10.8,,no,0.073,NO,,95,0.002,,6/11/2005 17:00,6/11/2005 18:00,,6/12/2005 15:00,6/12/2005 16:15,,0.88,0.97,0.92,21.00,23.25,22.13,0.10,2:15:00,0.09,9.64,1
1,1,1,1,1,1,1,1,2005,H-Times-BottomLab,Neither,10.0,c14-1,Haustrum haustorium,Check datasheets,23.1,Turbo smaragdus,EPFS Lab Rocks,4.7,,yes,0.055,YES,0.005,100,0.000,,6/15/2005 3:10,,YES,6/18/2005 6:52,,YES,3.15,3.15,3.15,75.70,75.70,75.70,0.00,0:00:00,0.00,100.00,1
0,0,0,1,0,0,0,1,2005,H-Times-BottomLab,Neither,10.0,c14-1,Haustrum haustorium,Check datasheets,23.1,Turbo smaragdus,EPFS Lab Rocks,4.8,,yes,0.054,YES,0.006,100,0.000,,6/14/2005 1:00,6/14/2005 8:25,,6/15/2005 2:00,,YES,0.73,1.04,0.89,17.58,25.00,21.29,0.35,7:25:00,0.31,3.13,0
0,1,1,1,0,1,1,1,2005,H-Times-BottomLab,Neither,10.0,c19-1 (org.68),Haustrum haustorium,Check datasheets,49.9,Diloma aethiops,EPFS Lab Rocks,18.4,,no,3.009,YES,,60,,,6/10/2005 23:15,6/11/2005 8:00,,6/13/2005 3:45,,YES,1.82,2.19,2.01,43.75,52.50,48.12,0.18,8:45:00,0.36,2.67,0
1,1,1,1,1,1,1,1,2005,H-Times-BottomLab,Aerated,10.0,c2-1,Haustrum haustorium,Check datasheets,41.6,Siphonaria australis,EPFS & ?Lighthouse Reef,10.5,,no,0.083,NO,,90,0.003,,6/16/2005 2:39,,YES,6/16/2005 14:15,,YES,0.48,0.48,0.48,11.60,11.60,11.60,0.00,0:00:00,0.00,100.00,1
0,0,0,0,0,0,0,0,2005,H-Times-BottomLab,Neither,10.0,c2-1 (org.69),Haustrum haustorium,Check datasheets,41.6,Siphonaria australis,EPFS & ?Lighthouse Reef,11.1,,no,0.084,NO,,100,0.000,,6/11/2005 17:10,6/12/2005 13:15,,6/11/2005 17:10,6/12/2005 13:15,,0.00,0.84,0.42,0.00,20.08,10.04,2.00,40:10:00,1.67,0.59,0
0,1,1,1,0,1,1,1,2005,H-Times-TopLab,Aerated,10.0,c20-2,Haustrum haustorium,Check datasheets,27.6,Siphonaria australis,EPFS & ?Lighthouse Reef,10.8,,no,0.058,NO,,95,0.002,"interrupted by moving to video @ 21:20, took exactly 5 hours to commense feeding, ""true"" end time = 12:12 (noon)",6/12/2005 18:00,6/12/2005 23:55,,6/14/2005 7:20,,YES,1.31,1.56,1.43,31.42,37.33,34.37,0.17,5:55:00,0.25,3.90,0
1,1,1,1,1,1,1,1,2005,H-Times-BottomLab,Neither,10.0,c22-1,Haustrum haustorium,Check datasheets,24.8,Siphonaria australis,EPFS & ?Lighthouse Reef,8.2,,no,0.038,NO,,100,0.000,,6/13/2005 5:50,,YES,6/13/2005 16:18,,YES,0.44,0.44,0.44,10.47,10.47,10.47,0.00,0:00:00,0.00,100.00,1
0,0,0,0,0,0,0,0,2005,H-Times-BottomLab,Neither,10.0,c24-1,Haustrum haustorium,Check datasheets,19.3,Siphonaria australis,EPFS & ?Lighthouse Reef,10.7,,no,0.069,NO,,100,0.000,,6/13/2005 0:00,6/13/2005 9:07,,6/13/2005 12:57,,YES,0.16,0.54,0.35,3.83,12.95,8.39,1.09,9:07:00,0.38,2.57,0
0,0,0,0,0,0,0,0,2005,H-Times-BottomLab,Neither,10.0,c4-1 (org.64),Haustrum haustorium,Check datasheets,47.0,Diloma aethiops,EPFS Lab Rocks,9.4,,no,0.368,YES,,100,0.000,,6/9/2005 23:10,6/10/2005 8:15,,6/10/2005 10:10,6/10/2005 11:30,,0.08,0.51,0.30,1.92,12.33,7.12,1.46,10:25:00,0.43,2.25,0
0,0,0,0,0,0,0,0,2005,H-Times-BottomLab,Neither,10.0,c9-1 (org.55),Haustrum haustorium,Check datasheets,47.0,Diloma aethiops,EPFS Lab Rocks,14.7,,no,1.649,YES,,60,,,6/9/2005 23:10,6/10/2005 8:15,,6/10/2005 20:45,,YES,0.52,0.90,0.71,12.50,21.58,17.04,0.53,9:05:00,0.38,2.57,0
0,0,0,0,1,1,1,1,2005,H-Times-TopLab-HighTemp,Aerated,19.0,c10-1,Haustrum haustorium,Check datasheets,35.9,Patelloida corticata,?Lighthouse Reef,10.9,,no,0.081,NO,,100,0.000,,6/29/2005 11:50,6/29/2005 12:15,,6/29/2005 13:09,6/29/2005 14:12,,0.04,0.10,0.07,0.90,2.37,1.63,0.90,1:28:00,0.06,14.06,1
0,0,0,1,1,1,1,1,2005,H-Times-TopLab-LowTemp,Aerated,10.0,c18-1,Haustrum haustorium,Check datasheets,36.3,Siphonaria australis,EPFS & ?Lighthouse Reef,8.2,,no,0.043,NO,,100,0.000,,6/29/2005 12:08,6/29/2005 13:00,,6/29/2005 16:02,6/29/2005 16:51,,0.13,0.20,0.16,3.03,4.72,3.87,0.43,1:41:00,0.07,12.48,1
0,0,0,1,0,0,0,1,2005,H-Times-TopLab-HighTemp,Aerated,19.0,c9-1,Haustrum haustorium,Check datasheets,39.5,Siphonaria australis,EPFS & ?Lighthouse Reef,13.5,,no,0.131,NO,,100,0.000,,6/29/2005 14:12,6/29/2005 15:14,,6/29/2005 19:51,6/29/2005 21:41,,0.19,0.31,0.25,4.62,7.48,6.05,0.47,2:52:00,0.12,7.73,0
0,0,0,0,0,0,0,0,2005,H-Times-TopLab-HighTemp,Aerated,19.0,c19-1,Haustrum haustorium,Check datasheets,23.7,Patelloida corticata,?Lighthouse Reef,7.0,,no,0.024,NO,,100,0.000,,6/29/2005 16:10,6/29/2005 16:56,,6/29/2005 19:51,6/29/2005 21:41,,0.12,0.23,0.18,2.92,5.52,4.22,0.62,2:36:00,0.11,8.45,0
0,0,0,0,0,0,0,0,2005,H-Times-TopLab-LowTemp,Aerated,10.0,c21-1,Haustrum haustorium,Check datasheets,26.5,Siphonaria australis,EPFS & ?Lighthouse Reef,9.4,,no,0.062,NO,,80,0.006,,6/29/2005 16:51,6/29/2005 18:48,,6/29/2005 23:10,6/30/2005 8:33,,0.18,0.65,0.42,4.37,15.70,10.03,1.13,11:20:00,0.47,2.07,0
0,0,0,0,0,0,0,0,2005,H-Times-TopLab-HighTemp,Aerated,19.0,c20-1,Haustrum haustorium,Check datasheets,21.4,Patelloida corticata,?Lighthouse Reef,8.1,,no,0.037,NO,,100,0.000,,6/29/2005 11:50,6/29/2005 12:15,,6/29/2005 23:16,6/30/2005 8:44,,0.46,0.87,0.66,11.02,20.90,15.96,0.62,9:53:00,0.41,2.37,0
0,0,0,0,0,0,0,0,2005,H-Times-TopLab-HighTemp,Aerated,19.0,c7-1,Haustrum haustorium,Check datasheets,30.1,Haustrum scobina,Tauranga Head,12.9,,no,0.285,YES,,100,0.000,,6/29/2005 13:40,6/29/2005 14:12,,6/29/2005 23:16,6/30/2005 8:44,,0.38,0.79,0.59,9.07,19.07,14.07,0.71,10:00:00,0.42,2.34,0
0,0,0,0,0,0,0,0,2005,H-Times-TopLab-HighTemp,Aerated,19.0,c10-1,Haustrum haustorium,Check datasheets,35.9,Patelloida corticata,?Lighthouse Reef,12.5,,no,0.204,NO,,98,0.003,,6/29/2005 15:14,6/29/2005 16:10,,6/29/2005 23:16,6/30/2005 8:44,,0.30,0.73,0.51,7.10,17.50,12.30,0.85,10:24:00,0.43,2.26,0
0,0,0,0,0,0,0,0,2005,H-Times-TopLab-HighTemp,Aerated,19.0,c8-1,Haustrum haustorium,Check datasheets,24.0,Siphonaria australis,EPFS & ?Lighthouse Reef,8.0,,no,0.030,NO,,100,0.000,,6/29/2005 15:14,6/29/2005 16:10,,6/29/2005 23:16,6/30/2005 8:44,,0.30,0.73,0.51,7.10,17.50,12.30,0.85,10:24:00,0.43,2.26,0
0,0,0,0,0,0,0,0,2005,H-Times-TopLab-HighTemp,Aerated,19.0,c16-1,Haustrum haustorium,Check datasheets,33.8,Haustrum scobina,Tauranga Head,14.1,,no,0.356,YES,,100,0.000,,6/29/2005 16:56,6/29/2005 18:54,,6/29/2005 23:16,6/30/2005 8:44,,0.18,0.66,0.42,4.37,15.80,10.08,1.13,11:26:00,0.48,2.06,0
0,0,0,0,0,0,0,0,2005,H-Times-TopLab-HighTemp,Aerated,19.0,c15-1,Haustrum haustorium,Check datasheets,35.9,Haustrum scobina,Tauranga Head,15.4,,no,0.519,YES,,100,0.000,,6/29/2005 18:54,6/29/2005 19:51,,6/29/2005 23:16,6/30/2005 8:44,,0.14,0.58,0.36,3.42,13.83,8.63,1.21,10:25:00,0.43,2.25,0
0,0,0,0,0,0,0,0,2005,H-Times-TopLab-HighTemp,Aerated,19.0,c19-1,Haustrum haustorium,Check datasheets,23.7,Patelloida corticata,?Lighthouse Reef,8.2,,no,0.041,NO,,100,0.000,,6/29/2005 19:51,6/29/2005 21:41,,6/29/2005 23:16,6/30/2005 8:44,,0.07,0.54,0.30,1.58,12.88,7.23,1.56,11:18:00,0.47,2.08,0
0,0,0,0,0,0,0,0,2005,H-Times-TopLab-MidTemp,Aerated,14.5,c27-1,Haustrum haustorium,Check datasheets,27.1,Haustrum scobina,Tauranga Head,13.7,,no,0.273,YES,,100,0.000,,6/29/2005 14:08,6/29/2005 15:10,,6/30/2005 3:48,7/1/2005 9:07,,0.53,1.79,1.16,12.63,42.98,27.81,1.09,30:21:00,1.26,0.78,0
0,0,0,0,0,0,0,0,2005,H-Times-TopLab-HighTemp,Aerated,19.0,c20-1,Haustrum haustorium,Check datasheets,21.4,Patelloida corticata,?Lighthouse Reef,6.8,,no,0.023,NO,,90,0.001,,6/29/2005 23:16,6/30/2005 8:44,,6/30/2005 8:44,6/30/2005 10:20,,0.00,0.46,0.23,0.00,11.07,5.53,2.00,11:04:00,0.46,2.12,0
0,0,0,0,0,0,0,0,2005,H-Times-TopLab-HighTemp,Aerated,19.0,c9-1,Haustrum haustorium,Check datasheets,39.5,Siphonaria australis,EPFS & ?Lighthouse Reef,11.9,,no,0.103,NO,,100,0.000,,6/29/2005 23:16,6/30/2005 8:44,,6/30/2005 10:20,6/30/2005 11:34,,0.07,0.51,0.29,1.60,12.30,6.95,1.54,10:42:00,0.45,2.19,0
0,0,0,0,0,0,0,0,2005,H-Times-TopLab-HighTemp,Aerated,19.0,c4-1,Haustrum haustorium,Check datasheets,29.8,Haustrum scobina,Tauranga Head,12.1,,no,0.207,YES,,100,0.000,,6/29/2005 23:16,6/30/2005 8:44,,6/30/2005 11:34,6/30/2005 12:44,,0.12,0.56,0.34,2.83,13.47,8.15,1.30,10:38:00,0.44,2.21,0
0,0,0,0,0,0,0,0,2005,H-Times-TopLab-HighTemp,Aerated,19.0,c19-1,Haustrum haustorium,Check datasheets,23.7,Patelloida corticata,?Lighthouse Reef,7.0,,no,0.019,NO,,100,0.000,,6/29/2005 23:16,6/30/2005 8:44,,6/30/2005 11:34,6/30/2005 12:44,,0.12,0.56,0.34,2.83,13.47,8.15,1.30,10:38:00,0.44,2.21,0
1,1,1,1,1,1,1,1,2005,H-Times-TopLab-MidTemp,Aerated,14.5,c18-1,Haustrum haustorium,Check datasheets,29.2,Haustrum scobina,Tauranga Head,13.4,,no,0.348,no,,100,0.000,,6/29/2005 10:30,6/29/2005 11:12,,6/30/2005 12:42,6/30/2005 14:25,,1.06,1.16,1.11,25.50,27.92,26.71,0.09,2:25:00,0.10,9.03,0
1,1,1,1,1,1,1,1,2005,H-Times-TopLab-MidTemp,Aerated,14.5,c20-1,Haustrum haustorium,Check datasheets,23.1,Haustrum scobina,Tauranga Head,9.4,,no,0.088,YES,,100,0.000,,6/29/2005 10:30,6/29/2005 11:12,,6/30/2005 12:42,6/30/2005 14:25,,1.06,1.16,1.11,25.50,27.92,26.71,0.09,2:25:00,0.10,9.03,0
0,1,1,1,0,1,1,1,2005,H-Times-TopLab-HighTemp,Aerated,19.0,c6-1,Haustrum haustorium,Check datasheets,30.2,Haustrum scobina,Tauranga Head,15.9,,no,0.630,YES,,100,0.000,,6/29/2005 16:56,6/29/2005 18:54,,6/30/2005 14:29,6/30/2005 15:52,,0.82,0.96,0.89,19.58,22.93,21.26,0.16,3:21:00,0.14,6.69,0
0,0,0,0,0,0,0,0,2005,H-Times-TopLab-LowTemp,Aerated,10.0,c18-1,Haustrum haustorium,Check datasheets,36.3,Siphonaria australis,EPFS & ?Lighthouse Reef,9.1,,no,0.053,NO,,100,0.000,,6/30/2005 8:33,6/30/2005 10:13,,6/30/2005 15:43,7/1/2005 8:40,,0.23,1.00,0.62,5.50,24.12,14.81,1.26,18:37:00,0.78,1.27,0
0,0,0,0,0,0,0,0,2005,H-Times-TopLab-MidTemp,Aerated,14.5,c25-1,Haustrum haustorium,Check datasheets,28.4,Haustrum scobina,Tauranga Head,14.5,,no,0.259,YES,,100,0.000,,6/29/2005 16:54,6/29/2005 18:51,,6/30/2005 15:48,7/1/2005 9:07,,0.87,1.68,1.27,20.95,40.22,30.58,0.63,19:16:00,0.80,1.23,0
0,0,0,0,0,0,0,0,2005,H-Times-TopLab-MidTemp,Aerated,14.5,c5-1,Haustrum haustorium,Check datasheets,42.9,Haustrum scobina,Tauranga Head,13.4,,no,0.244,YES,,100,0.000,,6/29/2005 23:13,6/30/2005 8:39,,6/30/2005 15:48,7/1/2005 9:07,,0.30,1.41,0.86,7.15,33.90,20.52,1.30,26:45:00,1.11,0.89,0
0,0,0,1,0,0,0,1,2005,H-Times-TopLab-HighTemp,Aerated,19.0,c18-1,Haustrum haustorium,Check datasheets,44.1,Haustrum scobina,Tauranga Head,15.9,,no,0.578,YES,,100,0.000,,6/29/2005 10:10,6/29/2005 10:15,,6/30/2005 15:52,7/1/2005 8:52,,1.23,1.95,1.59,29.62,46.70,38.16,0.45,17:05:00,0.71,1.39,0
0,0,0,0,0,0,0,0,2005,H-Times-TopLab-HighTemp,Aerated,19.0,c13-1,Haustrum haustorium,Check datasheets,34.9,Haustrum scobina,Tauranga Head,14.4,,no,0.379,YES,,100,0.000,,6/29/2005 19:51,6/29/2005 21:41,,6/30/2005 15:52,7/1/2005 8:52,,0.76,1.54,1.15,18.18,37.02,27.60,0.68,18:50:00,0.78,1.26,0
0,0,0,0,0,0,0,0,2005,H-Times-TopLab-HighTemp,Aerated,19.0,c10-1,Haustrum haustorium,Check datasheets,35.9,Patelloida corticata,?Lighthouse Reef,15.3,,no,0.218,NO,,98,0.002,,6/29/2005 23:16,6/30/2005 8:44,,6/30/2005 15:52,7/1/2005 8:52,,0.30,1.40,0.85,7.13,33.60,20.37,1.30,26:28:00,1.10,0.90,0
0,0,0,0,0,0,0,0,2005,H-Times-TopLab-HighTemp,Aerated,18.5,c1-1,Haustrum haustorium,Check datasheets,31.7,Haustrum scobina,Tauranga Head,17.2,,no,0.797,YES,,50,,digestive (?) not eaten,6/30/2005 10:20,6/30/2005 11:34,,6/30/2005 15:52,7/1/2005 8:52,,0.18,0.94,0.56,4.30,22.53,13.42,1.36,18:14:00,0.76,1.30,0
0,0,0,0,0,0,0,0,2005,H-Times-TopLab-LowTemp,Aerated,10.0,c21-1,Haustrum haustorium,Check datasheets,26.5,Siphonaria australis,EPFS & ?Lighthouse Reef,10.0,,no,0.060,NO,,95,0.004,,6/30/2005 15:43,7/1/2005 8:40,,7/1/2005 8:40,7/1/2005 18:23,,0.00,1.11,0.56,0.00,26.67,13.33,2.00,26:40:00,1.11,0.89,0
0,1,1,1,0,1,1,1,2005,H-Times-TopLab-HighTemp,Aerated,19.0,c23-1,Haustrum haustorium,Check datasheets,24.7,Haustrum scobina,Tauranga Head,11.4,,no,0.194,YES,,100,0.000,,6/29/2005 10:10,6/29/2005 10:15,,7/1/2005 8:52,7/1/2005 18:37,,1.94,2.35,2.15,46.62,56.45,51.53,0.19,9:50:00,0.41,2.38,0
0,0,1,1,0,0,1,1,2005,H-Times-TopLab-HighTemp,Aerated,19.0,c21-1,Haustrum haustorium,Check datasheets,23.8,Haustrum scobina,Tauranga Head,15.0,,no,0.392,YES,,100,0.000,,6/29/2005 14:12,6/29/2005 15:14,,7/1/2005 8:52,7/1/2005 18:37,,1.73,2.18,1.96,41.63,52.42,47.02,0.23,10:47:00,0.45,2.18,0
0,0,0,0,0,0,0,0,2005,H-Times-TopLab-HighTemp,Aerated,19.0,c2-1,Haustrum haustorium,Check datasheets,30.1,Haustrum scobina,Tauranga Head,12.0,,no,0.272,YES,,100,0.000,,6/29/2005 23:16,6/30/2005 8:44,,7/1/2005 8:52,7/1/2005 18:37,,1.01,1.81,1.41,24.13,43.35,33.74,0.57,19:13:00,0.80,1.23,0
0,0,0,1,0,0,0,1,2005,H-Times-TopLab-HighTemp,Aerated,18.5,c7-1,Haustrum haustorium,Check datasheets,30.1,Haustrum scobina,Tauranga Head,15.7,,no,0.582,YES,,100,0.000,,6/30/2005 8:44,6/30/2005 10:20,,7/1/2005 8:52,7/1/2005 18:37,,0.94,1.41,1.18,22.53,33.88,28.21,0.40,11:21:00,0.47,2.07,0
0,0,0,1,0,0,0,1,2005,H-Times-TopLab-HighTemp,Aerated,18.5,c8-1,Haustrum haustorium,Check datasheets,24.0,Siphonaria australis,EPFS & ?Lighthouse Reef,10.2,,no,0.054,NO,,100,0.000,,6/30/2005 8:44,6/30/2005 10:20,,7/1/2005 8:52,7/1/2005 18:37,,0.94,1.41,1.18,22.53,33.88,28.21,0.40,11:21:00,0.47,2.07,0
