Year,Season,Site,TideZone,Transect,Quad,Diagonal-First,Diagonal-Second
2005,Winter,PaiaPoint,Mid,1,3,85,89
2005,Winter,PaiaPoint,Mid,1,4,75,72
2005,Winter,PaiaPoint,Mid,1,5,105,72
2005,Winter,PaiaPoint,Mid,2,1,90,95
2005,Winter,PaiaPoint,Mid,2,2,70,70
2005,Winter,PaiaPoint,Mid,2,3,105,93
2005,Winter,PaiaPoint,Mid,2,4,87,80
2005,Winter,PaiaPoint,Mid,2,5,84,86
2005,Winter,PaiaPoint,Mid,3,1,76,75
2005,Winter,PaiaPoint,Mid,3,2,81,86
2005,Winter,PaiaPoint,Mid,3,3,79,78
2005,Winter,PaiaPoint,Mid,3,4,80,78
2005,Winter,PaiaPoint,Mid,3,5,89,90
2005,Winter,Rakautara,High,1,1,89,92
2005,Winter,Rakautara,High,1,2,116,95
2005,Winter,Rakautara,High,1,3,117,113
2005,Winter,Rakautara,High,1,4,88,94
2005,Winter,Rakautara,High,1,5,80,78
2005,Winter,Rakautara,High,2,1,81,77
2005,Winter,Rakautara,High,2,2,92,111
2005,Winter,Rakautara,High,2,3,78,80
2005,Winter,Rakautara,High,2,4,102,124
2005,Winter,Rakautara,High,2,5,94,105
2005,Winter,Rakautara,High,3,1,125,99
2005,Winter,Rakautara,High,3,2,81,82
2005,Winter,Rakautara,High,3,3,87,86
2005,Winter,Rakautara,High,3,4,84,99
2005,Winter,Rakautara,High,3,5,77,78
2005,Winter,Rakautara,Mid,1,1,77,82
2005,Winter,Rakautara,Mid,1,2,90,87
2005,Winter,Rakautara,Mid,1,3,79,88
2005,Winter,Rakautara,Mid,1,4,80,77
2005,Winter,Rakautara,Mid,1,5,89,83
2005,Winter,Rakautara,Mid,2,1,81,97
2005,Winter,Rakautara,Mid,2,2,78,85
2005,Winter,Rakautara,Mid,2,3,80,95
2005,Winter,Rakautara,Mid,2,4,93,104
2005,Winter,Rakautara,Mid,2,5,78,90
2005,Winter,Rakautara,Mid,3,1,77,73
2005,Winter,Rakautara,Mid,3,2,90,102
2005,Winter,Rakautara,Mid,3,3,117,84
2005,Winter,Rakautara,Mid,3,4,75,74
2005,Winter,Rakautara,Mid,3,5,78,79
2005,Winter,TaurangaHead,High,1,1,74,82
2005,Winter,TaurangaHead,High,1,2,76,74
2005,Winter,TaurangaHead,High,1,3,100,95
2005,Winter,TaurangaHead,High,1,4,73,80
2005,Winter,TaurangaHead,High,1,5,93,90
2005,Winter,TaurangaHead,High,2,1,90,83
2005,Winter,TaurangaHead,High,2,2,80,100
2005,Winter,TaurangaHead,High,2,3,82,81
2005,Winter,TaurangaHead,High,2,4,79,80
2005,Winter,TaurangaHead,High,2,5,89,75
2005,Winter,TaurangaHead,High,3,1,97,91
2005,Winter,TaurangaHead,High,3,2,80,85
2005,Winter,TaurangaHead,High,3,3,86,90
2005,Winter,TaurangaHead,High,3,4,110,81
2005,Winter,TaurangaHead,High,3,5,102,84
2005,Winter,TaurangaHead,Mid,1,1,72,71
2005,Winter,TaurangaHead,Mid,1,2,90,115
2005,Winter,TaurangaHead,Mid,1,3,72,75
2005,Winter,TaurangaHead,Mid,1,4,93,85
2005,Winter,TaurangaHead,Mid,1,5,70,75
2005,Winter,TaurangaHead,Mid,2,1,75,85
2005,Winter,TaurangaHead,Mid,2,2,100,109
2005,Winter,TaurangaHead,Mid,2,3,88,88
2005,Winter,TaurangaHead,Mid,2,4,77,86
2005,Winter,TaurangaHead,Mid,2,5,76,86
2005,Winter,TaurangaHead,Mid,3,1,101,96
2005,Winter,TaurangaHead,Mid,3,2,83,88
2005,Winter,TaurangaHead,Mid,3,3,106,95
2005,Winter,TaurangaHead,Mid,3,4,77,78
2005,Winter,TaurangaHead,Mid,3,5,84,85
2006,Summer,CapeFoulwind,High,1,1,82,83
2006,Summer,CapeFoulwind,High,1,2,92,85
2006,Summer,CapeFoulwind,High,1,3,80,87
2006,Summer,CapeFoulwind,High,1,4,74,87
2006,Summer,CapeFoulwind,High,1,5,75,75
2006,Summer,CapeFoulwind,High,2,1,119,91
2006,Summer,CapeFoulwind,High,2,2,80,76
2006,Summer,CapeFoulwind,High,2,3,76,80
2006,Summer,CapeFoulwind,High,2,4,82,81
2006,Summer,CapeFoulwind,High,2,5,95,103
2006,Summer,CapeFoulwind,High,3,1,73,78
2006,Summer,CapeFoulwind,High,3,2,79,76
2006,Summer,CapeFoulwind,High,3,3,87,80
2006,Summer,CapeFoulwind,High,3,4,78,80
2006,Summer,CapeFoulwind,High,3,5,81,78
2006,Summer,CapeFoulwind,Mid,1,1,100,82
2006,Summer,CapeFoulwind,Mid,1,2,101,94
2006,Summer,CapeFoulwind,Mid,1,3,94,85
2006,Summer,CapeFoulwind,Mid,1,4,84,88
2006,Summer,CapeFoulwind,Mid,1,5,94,95
2006,Summer,CapeFoulwind,Mid,2,1,84,79
2006,Summer,CapeFoulwind,Mid,2,2,81,106
2006,Summer,CapeFoulwind,Mid,2,3,85,105
2006,Summer,CapeFoulwind,Mid,2,4,99,84
2006,Summer,CapeFoulwind,Mid,2,5,92,81
2006,Summer,CapeFoulwind,Mid,3,1,87,85
2006,Summer,CapeFoulwind,Mid,3,2,75,70
2006,Summer,CapeFoulwind,Mid,3,3,72,79
2006,Summer,CapeFoulwind,Mid,3,4,73,81
2006,Summer,CapeFoulwind,Mid,3,5,72,71
2006,Summer,JacksonHead,High,1,1,87,97
2006,Summer,JacksonHead,High,1,2,86,75
2006,Summer,JacksonHead,High,1,3,83,89
2006,Summer,JacksonHead,High,1,4,120,125
2006,Summer,JacksonHead,High,1,5,85,82
2006,Summer,JacksonHead,High,2,1,95,80
2006,Summer,JacksonHead,High,2,2,74,83
2006,Summer,JacksonHead,High,2,3,82,74
2006,Summer,JacksonHead,High,2,4,96,73
2006,Summer,JacksonHead,High,2,5,77,74
2006,Summer,JacksonHead,High,3,1,76,72
2006,Summer,JacksonHead,High,3,2,95,87
2006,Summer,JacksonHead,High,3,3,88,93
2006,Summer,JacksonHead,High,3,4,78,79
2006,Summer,JacksonHead,High,3,5,95,87
2006,Summer,JacksonHead,High,4,1,85,75
2006,Summer,JacksonHead,High,4,2,83,85
2006,Summer,JacksonHead,High,4,3,91,94
2006,Summer,JacksonHead,High,4,4,71,74
2006,Summer,JacksonHead,High,4,5,79,75
2006,Summer,JacksonHead,Mid,1,1,83,81
2006,Summer,JacksonHead,Mid,1,2,78,76
2006,Summer,JacksonHead,Mid,1,3,91,88
2006,Summer,JacksonHead,Mid,1,4,81,88
2006,Summer,JacksonHead,Mid,1,5,92,94
2006,Summer,JacksonHead,Mid,2,1,78,89
2006,Summer,JacksonHead,Mid,2,2,82,90
2006,Summer,JacksonHead,Mid,2,3,85,88
2006,Summer,JacksonHead,Mid,2,4,93,85
2006,Summer,JacksonHead,Mid,2,5,84,88
2006,Summer,JacksonHead,Mid,3,1,89,85
2006,Summer,JacksonHead,Mid,3,2,72,72
2006,Summer,JacksonHead,Mid,3,3,82,84
2006,Summer,JacksonHead,Mid,3,4,90,92
2006,Summer,JacksonHead,Mid,3,5,78,73
2006,Summer,JacksonHead,Mid,4,1,75,77
2006,Summer,JacksonHead,Mid,4,2,76,78
2006,Summer,JacksonHead,Mid,4,3,77,79
2006,Summer,JacksonHead,Mid,4,4,84,89
2006,Summer,JacksonHead,Mid,4,5,75,78
2006,Summer,OkahuPoint,High,1,1,113,115
2006,Summer,OkahuPoint,High,1,2,80,86
2006,Summer,OkahuPoint,High,1,3,91,82
2006,Summer,OkahuPoint,High,1,4,95,88
2006,Summer,OkahuPoint,High,1,5,79,103
2006,Summer,OkahuPoint,High,2,1,72,95
2006,Summer,OkahuPoint,High,2,2,94,94
2006,Summer,OkahuPoint,High,2,3,100,92
2006,Summer,OkahuPoint,High,2,4,77,74
2006,Summer,OkahuPoint,High,2,5,92,90
2006,Summer,OkahuPoint,High,3,1,86,85
2006,Summer,OkahuPoint,High,3,2,90,71
2006,Summer,OkahuPoint,High,3,3,85,93
2006,Summer,OkahuPoint,High,3,4,74,72
2006,Summer,OkahuPoint,High,3,5,74,82
2006,Summer,OkahuPoint,High,4,1,72,73
2006,Summer,OkahuPoint,High,4,2,74,75
2006,Summer,OkahuPoint,High,4,3,73,80
2006,Summer,OkahuPoint,High,4,4,72,74
2006,Summer,OkahuPoint,High,4,5,74,75
2006,Summer,OkahuPoint,Mid,1,1,86,82
2006,Summer,OkahuPoint,Mid,1,2,89,75
2006,Summer,OkahuPoint,Mid,1,3,79,78
2006,Summer,OkahuPoint,Mid,1,4,88,87
2006,Summer,OkahuPoint,Mid,1,5,76,78
2006,Summer,OkahuPoint,Mid,2,1,78,78
2006,Summer,OkahuPoint,Mid,2,2,75,74
2006,Summer,OkahuPoint,Mid,2,3,83,101
2006,Summer,OkahuPoint,Mid,2,4,99,105
2006,Summer,OkahuPoint,Mid,2,5,80,83
2006,Summer,OkahuPoint,Mid,3,1,82,94
2006,Summer,OkahuPoint,Mid,3,2,82,86
2006,Summer,OkahuPoint,Mid,3,3,74,75
2006,Summer,OkahuPoint,Mid,3,4,74,65
2006,Summer,OkahuPoint,Mid,3,5,83,88
2006,Summer,OkahuPoint,Mid,4,1,75,76
2006,Summer,OkahuPoint,Mid,4,2,90,81
2006,Summer,OkahuPoint,Mid,4,3,96,80
2006,Summer,OkahuPoint,Mid,4,4,84,85
2006,Summer,OkahuPoint,Mid,4,5,88,82
2006,Summer,PaiaPoint,High,1,1,80,100
2006,Summer,PaiaPoint,High,1,2,96,93
2006,Summer,PaiaPoint,High,1,3,85,69
2006,Summer,PaiaPoint,High,1,4,92,83
2006,Summer,PaiaPoint,High,1,5,100,89
2006,Summer,PaiaPoint,High,2,1,78,87
2006,Summer,PaiaPoint,High,2,2,140,98
2006,Summer,PaiaPoint,High,2,3,94,82
2006,Summer,PaiaPoint,High,2,4,85,95
2006,Summer,PaiaPoint,High,2,5,86,99
2006,Summer,PaiaPoint,High,3,1,85,73
2006,Summer,PaiaPoint,High,3,2,75,71
2006,Summer,PaiaPoint,High,3,3,76,74
2006,Summer,PaiaPoint,High,3,4,85,72
2006,Summer,PaiaPoint,High,3,5,79,76
2006,Summer,PaiaPoint,Mid,1,1,100,89
2006,Summer,PaiaPoint,Mid,1,2,95,90
2006,Summer,PaiaPoint,Mid,1,3,94,80
2006,Summer,PaiaPoint,Mid,1,4,81,88
2006,Summer,PaiaPoint,Mid,1,5,83,81
2006,Summer,PaiaPoint,Mid,2,1,84,97
2006,Summer,PaiaPoint,Mid,2,2,75,93
2006,Summer,PaiaPoint,Mid,2,3,85,95
2006,Summer,PaiaPoint,Mid,2,4,85,84
2006,Summer,PaiaPoint,Mid,2,5,88,79
2006,Summer,PaiaPoint,Mid,3,1,73,75
2006,Summer,PaiaPoint,Mid,3,2,82,75
2006,Summer,PaiaPoint,Mid,3,3,79,72
2006,Summer,PaiaPoint,Mid,3,4,73,80
2006,Summer,PaiaPoint,Mid,3,5,75,80
2006,Summer,Rakautara,High,1,1,76,94
2006,Summer,Rakautara,High,1,2,105,101
2006,Summer,Rakautara,High,1,3,106,85
2006,Summer,Rakautara,High,1,4,94,96
2006,Summer,Rakautara,High,1,5,94,105
2006,Summer,Rakautara,High,2,1,89,82
2006,Summer,Rakautara,High,2,2,107,108
2006,Summer,Rakautara,High,2,3,87,96
2006,Summer,Rakautara,High,2,4,78,75
2006,Summer,Rakautara,High,2,5,90,103
2006,Summer,Rakautara,High,3,1,73,73
2006,Summer,Rakautara,High,3,2,73,86
2006,Summer,Rakautara,High,3,3,75,77
2006,Summer,Rakautara,High,3,4,79,81
2006,Summer,Rakautara,High,3,5,85,78
2006,Summer,Rakautara,Mid,1,1,108,99
2006,Summer,Rakautara,Mid,1,2,80,81
2006,Summer,Rakautara,Mid,1,3,77,80
2006,Summer,Rakautara,Mid,1,4,82,75
2006,Summer,Rakautara,Mid,1,5,85,77
2006,Summer,Rakautara,Mid,2,1,119,100
2006,Summer,Rakautara,Mid,2,2,101,132
2006,Summer,Rakautara,Mid,2,3,85,67
2006,Summer,Rakautara,Mid,2,4,89,86
2006,Summer,Rakautara,Mid,2,5,86,90
2006,Summer,Rakautara,Mid,3,1,73,69
2006,Summer,Rakautara,Mid,3,2,83,78
2006,Summer,Rakautara,Mid,3,3,73,75
2006,Summer,Rakautara,Mid,3,4,72,74
2006,Summer,Rakautara,Mid,3,5,82,76
2006,Summer,TaurangaHead,High,1,1,79,82
2006,Summer,TaurangaHead,High,1,2,78,81
2006,Summer,TaurangaHead,High,1,3,77,96
2006,Summer,TaurangaHead,High,1,4,113,90
2006,Summer,TaurangaHead,High,1,5,94,111
2006,Summer,TaurangaHead,High,2,1,90,84
2006,Summer,TaurangaHead,High,2,2,80,121
2006,Summer,TaurangaHead,High,2,3,88,98
2006,Summer,TaurangaHead,High,2,4,94,93
2006,Summer,TaurangaHead,High,2,5,85,82
2006,Summer,TaurangaHead,High,3,1,74,72
2006,Summer,TaurangaHead,High,3,2,84,86
2006,Summer,TaurangaHead,High,3,3,79,75
2006,Summer,TaurangaHead,High,3,4,80,84
2006,Summer,TaurangaHead,High,3,5,79,96
2006,Summer,TaurangaHead,Mid,1,1,126,88
2006,Summer,TaurangaHead,Mid,1,2,105,102
2006,Summer,TaurangaHead,Mid,1,3,89,83
2006,Summer,TaurangaHead,Mid,1,4,99,89
2006,Summer,TaurangaHead,Mid,1,5,85,97
2006,Summer,TaurangaHead,Mid,2,1,83,89
2006,Summer,TaurangaHead,Mid,2,2,83,87
2006,Summer,TaurangaHead,Mid,2,3,99,91
2006,Summer,TaurangaHead,Mid,2,4,100,82
2006,Summer,TaurangaHead,Mid,2,5,81,81
2006,Summer,TaurangaHead,Mid,3,1,70,74
2006,Summer,TaurangaHead,Mid,3,2,85,69
2006,Summer,TaurangaHead,Mid,3,3,81,72
2006,Summer,TaurangaHead,Mid,3,4,76,94
2006,Summer,TaurangaHead,Mid,3,5,80,82
2006,Winter,CapeFoulwind,High,1,1,80,82
2006,Winter,CapeFoulwind,High,1,2,97,80
2006,Winter,CapeFoulwind,High,1,3,80,81
2006,Winter,CapeFoulwind,High,1,4,104,85
2006,Winter,CapeFoulwind,High,1,5,80,76
2006,Winter,CapeFoulwind,High,2,1,100,105
2006,Winter,CapeFoulwind,High,2,2,116,87
2006,Winter,CapeFoulwind,High,2,3,80,79
2006,Winter,CapeFoulwind,High,2,4,76,75
2006,Winter,CapeFoulwind,High,2,5,104,96
2006,Winter,CapeFoulwind,High,3,1,77,74
2006,Winter,CapeFoulwind,High,3,2,76,82
2006,Winter,CapeFoulwind,High,3,3,85,91
2006,Winter,CapeFoulwind,High,3,4,98,94
2006,Winter,CapeFoulwind,High,3,5,100,84
2006,Winter,CapeFoulwind,Mid,1,1,78,82
2006,Winter,CapeFoulwind,Mid,1,2,82,78
2006,Winter,CapeFoulwind,Mid,1,3,76,76
2006,Winter,CapeFoulwind,Mid,1,4,92,89
2006,Winter,CapeFoulwind,Mid,1,5,79,77
2006,Winter,CapeFoulwind,Mid,2,1,89,102
2006,Winter,CapeFoulwind,Mid,2,2,83,75
2006,Winter,CapeFoulwind,Mid,2,3,109,88
2006,Winter,CapeFoulwind,Mid,2,4,87,82
2006,Winter,CapeFoulwind,Mid,2,5,82,83
2006,Winter,CapeFoulwind,Mid,3,1,80,77
2006,Winter,CapeFoulwind,Mid,3,2,91,79
2006,Winter,CapeFoulwind,Mid,3,3,79,77
2006,Winter,CapeFoulwind,Mid,3,4,82,76
2006,Winter,CapeFoulwind,Mid,3,5,100,95
2006,Winter,JacksonHead,High,1,1,88,109
2006,Winter,JacksonHead,High,1,2,121,93
2006,Winter,JacksonHead,High,1,3,106,78
2006,Winter,JacksonHead,High,1,4,75,77
2006,Winter,JacksonHead,High,1,5,112,103
2006,Winter,JacksonHead,High,2,1,98,100
2006,Winter,JacksonHead,High,2,2,125,142
2006,Winter,JacksonHead,High,2,3,81,95
2006,Winter,JacksonHead,High,2,4,96,85
2006,Winter,JacksonHead,High,2,5,81,88
2006,Winter,JacksonHead,High,3,1,78,88
2006,Winter,JacksonHead,High,3,2,91,75
2006,Winter,JacksonHead,High,3,3,84,82
2006,Winter,JacksonHead,High,3,4,81,97
2006,Winter,JacksonHead,High,3,5,87,78
2006,Winter,JacksonHead,Mid,1,1,130,105
2006,Winter,JacksonHead,Mid,1,2,94,96
2006,Winter,JacksonHead,Mid,1,3,86,99
2006,Winter,JacksonHead,Mid,1,4,80,81
2006,Winter,JacksonHead,Mid,1,5,79,78
2006,Winter,JacksonHead,Mid,2,1,87,74
2006,Winter,JacksonHead,Mid,2,2,78,96
2006,Winter,JacksonHead,Mid,2,3,91,92
2006,Winter,JacksonHead,Mid,2,4,83,88
2006,Winter,JacksonHead,Mid,2,5,100,85
2006,Winter,JacksonHead,Mid,3,1,87,94
2006,Winter,JacksonHead,Mid,3,2,77,75
2006,Winter,JacksonHead,Mid,3,3,89,86
2006,Winter,JacksonHead,Mid,3,4,90,96
2006,Winter,JacksonHead,Mid,3,5,77,99
2006,Winter,JacksonHead,Mid,4,1,104,115
2006,Winter,JacksonHead,Mid,4,2,100,100
2006,Winter,JacksonHead,Mid,4,3,91,86
2006,Winter,JacksonHead,Mid,4,4,80,85
2006,Winter,JacksonHead,Mid,4,5,82,87
2006,Winter,OkahuPoint,High,1,1,75,74
2006,Winter,OkahuPoint,High,1,2,74,74
2006,Winter,OkahuPoint,High,1,3,103,87
2006,Winter,OkahuPoint,High,1,4,74,73
2006,Winter,OkahuPoint,High,1,5,84,86
2006,Winter,OkahuPoint,High,2,1,85,88
2006,Winter,OkahuPoint,High,2,2,78,75
2006,Winter,OkahuPoint,High,2,3,101,129
2006,Winter,OkahuPoint,High,2,4,77,82
2006,Winter,OkahuPoint,High,2,5,83,81
2006,Winter,OkahuPoint,High,3,1,89,80
2006,Winter,OkahuPoint,High,3,2,82,100
2006,Winter,OkahuPoint,High,3,3,77,80
2006,Winter,OkahuPoint,High,3,4,75,76
2006,Winter,OkahuPoint,High,3,5,76,81
2006,Winter,OkahuPoint,High,4,1,95,97
2006,Winter,OkahuPoint,High,4,2,80,110
2006,Winter,OkahuPoint,High,4,3,76,80
2006,Winter,OkahuPoint,High,4,4,110,90
2006,Winter,OkahuPoint,High,4,5,95,103
2006,Winter,OkahuPoint,Mid,1,1,120,87
2006,Winter,OkahuPoint,Mid,1,2,86,74
2006,Winter,OkahuPoint,Mid,1,3,92,87
2006,Winter,OkahuPoint,Mid,1,4,87,86
2006,Winter,OkahuPoint,Mid,1,5,83,73
2006,Winter,OkahuPoint,Mid,2,1,80,101
2006,Winter,OkahuPoint,Mid,2,2,157,112
2006,Winter,OkahuPoint,Mid,2,3,74,82
2006,Winter,OkahuPoint,Mid,2,4,80,100
2006,Winter,OkahuPoint,Mid,2,5,85,83
2006,Winter,OkahuPoint,Mid,3,1,94,82
2006,Winter,OkahuPoint,Mid,3,2,76,85
2006,Winter,OkahuPoint,Mid,3,3,83,82
2006,Winter,OkahuPoint,Mid,3,4,81,74
2006,Winter,OkahuPoint,Mid,3,5,113,122
2006,Winter,PaiaPoint,High,1,1,80,85
2006,Winter,PaiaPoint,High,1,2,77,82
2006,Winter,PaiaPoint,High,1,4,89,88
2006,Winter,PaiaPoint,High,1,4,96,81
2006,Winter,PaiaPoint,High,1,5,79,89
2006,Winter,PaiaPoint,High,2,1,89,84
2006,Winter,PaiaPoint,High,2,2,75,85
2006,Winter,PaiaPoint,High,2,3,86,107
2006,Winter,PaiaPoint,High,2,4,79,86
2006,Winter,PaiaPoint,High,2,5,82,76
2006,Winter,PaiaPoint,High,3,1,91,97
2006,Winter,PaiaPoint,High,3,2,96,86
2006,Winter,PaiaPoint,High,3,3,75,86
2006,Winter,PaiaPoint,High,3,4,86,91
2006,Winter,PaiaPoint,High,3,5,83,82
2006,Winter,PaiaPoint,Mid,1,1,83,92
2006,Winter,PaiaPoint,Mid,1,2,97,95
2006,Winter,PaiaPoint,Mid,1,3,77,89
2006,Winter,PaiaPoint,Mid,1,4,93,90
2006,Winter,PaiaPoint,Mid,1,5,95,80
2006,Winter,PaiaPoint,Mid,2,1,85,73
2006,Winter,PaiaPoint,Mid,2,2,94,91
2006,Winter,PaiaPoint,Mid,2,3,93,82
2006,Winter,PaiaPoint,Mid,2,4,98,80
2006,Winter,PaiaPoint,Mid,2,5,75,80
2006,Winter,PaiaPoint,Mid,3,1,79,85
2006,Winter,PaiaPoint,Mid,3,2,87,76
2006,Winter,PaiaPoint,Mid,3,3,71,84
2006,Winter,PaiaPoint,Mid,3,4,85,88
2006,Winter,PaiaPoint,Mid,3,5,77,75
2006,Winter,Rakautara,High,1,1,84,78
2006,Winter,Rakautara,High,1,2,74,86
2006,Winter,Rakautara,High,1,3,74,75
2006,Winter,Rakautara,High,1,4,92,104
2006,Winter,Rakautara,High,1,5,87,78
2006,Winter,Rakautara,High,2,1,80,110
2006,Winter,Rakautara,High,2,2,93,91
2006,Winter,Rakautara,High,2,3,106,98
2006,Winter,Rakautara,High,2,4,78,75
2006,Winter,Rakautara,High,2,5,134,144
2006,Winter,Rakautara,High,3,1,87,83
2006,Winter,Rakautara,High,3,2,105,82
2006,Winter,Rakautara,High,3,3,104,92
2006,Winter,Rakautara,High,3,4,87,95
2006,Winter,Rakautara,High,3,5,120,106
2006,Winter,Rakautara,Mid,1,1,91,90
2006,Winter,Rakautara,Mid,1,2,94,97
2006,Winter,Rakautara,Mid,1,3,106,87
2006,Winter,Rakautara,Mid,1,4,87,91
2006,Winter,Rakautara,Mid,1,5,94,94
2006,Winter,Rakautara,Mid,2,1,80,76
2006,Winter,Rakautara,Mid,2,2,87,104
2006,Winter,Rakautara,Mid,2,3,103,92
2006,Winter,Rakautara,Mid,2,4,86,88
2006,Winter,Rakautara,Mid,2,5,79,76
2006,Winter,Rakautara,Mid,3,1,90,87
2006,Winter,Rakautara,Mid,3,2,82,84
2006,Winter,Rakautara,Mid,3,3,102,84
2006,Winter,Rakautara,Mid,3,4,85,83
2006,Winter,Rakautara,Mid,3,5,123,147
2006,Winter,TaurangaHead,High,1,1,83,101
2006,Winter,TaurangaHead,High,1,2,91,86
2006,Winter,TaurangaHead,High,1,3,120,110
2006,Winter,TaurangaHead,High,1,4,94,81
2006,Winter,TaurangaHead,High,1,5,86,83
2006,Winter,TaurangaHead,High,2,1,94,79
2006,Winter,TaurangaHead,High,2,2,102,95
2006,Winter,TaurangaHead,High,2,3,76,74
2006,Winter,TaurangaHead,High,2,4,90,79
2006,Winter,TaurangaHead,High,2,5,87,77
2006,Winter,TaurangaHead,High,3,1,82,74
2006,Winter,TaurangaHead,High,3,2,119,97
2006,Winter,TaurangaHead,High,3,3,95,80
2006,Winter,TaurangaHead,High,3,4,81,89
2006,Winter,TaurangaHead,High,3,5,101,107
2006,Winter,TaurangaHead,Mid,1,1,95,95
2006,Winter,TaurangaHead,Mid,1,2,84,82
2006,Winter,TaurangaHead,Mid,1,3,88,86
2006,Winter,TaurangaHead,Mid,1,4,80,82
2006,Winter,TaurangaHead,Mid,1,5,84,83
2006,Winter,TaurangaHead,Mid,2,1,83,81
2006,Winter,TaurangaHead,Mid,2,2,125,91
2006,Winter,TaurangaHead,Mid,2,3,83,90
2006,Winter,TaurangaHead,Mid,2,4,94,93
2006,Winter,TaurangaHead,Mid,2,5,85,86
2006,Winter,TaurangaHead,Mid,3,1,75,85
2006,Winter,TaurangaHead,Mid,3,2,80,83
2006,Winter,TaurangaHead,Mid,3,3,86,90
2006,Winter,TaurangaHead,Mid,3,4,95,96
2006,Winter,TaurangaHead,Mid,3,5,76,76
