Site,RecountNum,ElapsedDays,Block,Plot,Trtmt,SpeciesName,PercentCoverSpecies,ExtrapolatedCount
CapeFoulwind,1,0,B,1,+ Pred dPrey,Notoacmea 2spokes,FALSE,2
CapeFoulwind,1,0,B,1,+ Pred dPrey,Notoacmea Black,FALSE,3
CapeFoulwind,1,0,B,1,+ Pred dPrey,Notoacmea Radialspokes,FALSE,16
CapeFoulwind,1,0,B,1,+ Pred dPrey,Patelloida corticata,FALSE,2
CapeFoulwind,1,0,B,1,+ Pred dPrey,Plaxiphora caelata,FALSE,1
CapeFoulwind,1,0,B,1,+ Pred dPrey,Porphyra COUNT,FALSE,1
CapeFoulwind,1,0,B,1,+ Pred dPrey,Risellopsis varia,FALSE,7
CapeFoulwind,1,0,B,1,+ Pred dPrey,Siphonaria australis,FALSE,2
CapeFoulwind,1,0,B,1,+ Pred dPrey,Sypharochiton pelliserpentis,FALSE,1
CapeFoulwind,1,0,B,1,+ Pred dPrey,Xenostrobus pulex COUNT,FALSE,233
CapeFoulwind,1,0,B,1,+ Pred dPrey,Xenostrobus pulex DEADCOUNT,FALSE,6
CapeFoulwind,1,0,B,3,Bare Ctrl,Notoacmea 2spokes,FALSE,5
CapeFoulwind,1,0,C,3,- Pred,Austrolittorina antipodum,FALSE,5
CapeFoulwind,1,0,C,3,- Pred,Austrolittorina cincta,FALSE,276
CapeFoulwind,1,0,C,3,- Pred,Cellana ornata,FALSE,1
CapeFoulwind,1,0,C,3,- Pred,Chamaesipho columna DEADCOUNT,FALSE,169
CapeFoulwind,1,0,C,3,- Pred,Epopella plicata COUNT,FALSE,129
CapeFoulwind,1,0,C,3,- Pred,Epopella plicata DEADCOUNT,FALSE,2
CapeFoulwind,1,0,C,3,- Pred,Notoacmea 2spokes,FALSE,1
CapeFoulwind,1,0,C,3,- Pred,Notoacmea Black,FALSE,7
CapeFoulwind,1,0,C,3,- Pred,Notoacmea Net,FALSE,1
CapeFoulwind,1,0,C,3,- Pred,Notoacmea Radialspokes,FALSE,1
CapeFoulwind,1,0,C,3,- Pred,Porphyra COUNT,FALSE,1
CapeFoulwind,1,0,C,3,- Pred,Risellopsis varia,FALSE,2
CapeFoulwind,1,0,C,3,- Pred,Xenostrobus pulex COUNT,FALSE,152
CapeFoulwind,1,0,C,3,- Pred,Xenostrobus pulex DEADCOUNT,FALSE,4
CapeFoulwind,1,0,C,4,- Pred dPrey,Austrolittorina antipodum,FALSE,24
CapeFoulwind,1,0,C,4,- Pred dPrey,Austrolittorina cincta,FALSE,354
CapeFoulwind,1,0,C,4,- Pred dPrey,Chamaesipho columna DEADCOUNT,FALSE,515
CapeFoulwind,1,0,C,4,- Pred dPrey,Epopella plicata COUNT,FALSE,153
CapeFoulwind,1,0,C,4,- Pred dPrey,Epopella plicata DEADCOUNT,FALSE,6
CapeFoulwind,1,0,C,4,- Pred dPrey,Nereididae spp,FALSE,1
CapeFoulwind,1,0,C,4,- Pred dPrey,Notoacmea 2spokes,FALSE,1
CapeFoulwind,1,0,C,4,- Pred dPrey,Notoacmea Black,FALSE,7
CapeFoulwind,1,0,C,4,- Pred dPrey,Notoacmea Radialspokes,FALSE,7
CapeFoulwind,1,0,C,4,- Pred dPrey,Porphyra COUNT,FALSE,2
CapeFoulwind,1,0,C,4,- Pred dPrey,Risellopsis varia,FALSE,3
CapeFoulwind,1,0,C,4,- Pred dPrey,Sypharochiton pelliserpentis,FALSE,1
CapeFoulwind,1,0,C,4,- Pred dPrey,UNID Spider,FALSE,1
CapeFoulwind,1,0,C,4,- Pred dPrey,Xenostrobus pulex COUNT,FALSE,160
CapeFoulwind,1,0,C,6,+ Pred,Austrolittorina antipodum,FALSE,5
CapeFoulwind,1,0,C,6,+ Pred,Austrolittorina cincta,FALSE,273
CapeFoulwind,1,0,C,6,+ Pred,Chamaesipho columna DEADCOUNT,FALSE,298
CapeFoulwind,1,0,C,6,+ Pred,Epopella plicata COUNT,FALSE,191
CapeFoulwind,1,0,C,6,+ Pred,Epopella plicata DEADCOUNT,FALSE,2
CapeFoulwind,1,0,C,6,+ Pred,Notoacmea Black,FALSE,2
CapeFoulwind,1,0,C,6,+ Pred,Notoacmea Net,FALSE,1
CapeFoulwind,1,0,C,6,+ Pred,Patelloida corticata,FALSE,1
CapeFoulwind,1,0,C,6,+ Pred,Perna canaliculus COUNT,FALSE,2
CapeFoulwind,1,0,C,6,+ Pred,Risellopsis varia,FALSE,1
CapeFoulwind,1,0,C,6,+ Pred,Sypharochiton pelliserpentis,FALSE,3
CapeFoulwind,1,0,C,6,+ Pred,Xenostrobus pulex COUNT,FALSE,161
CapeFoulwind,1,0,C,6,+ Pred,Xenostrobus pulex DEADCOUNT,FALSE,7
CapeFoulwind,1,0,C,2,+ Pred dPrey,Austrolittorina antipodum,FALSE,14
CapeFoulwind,1,0,C,2,+ Pred dPrey,Austrolittorina cincta,FALSE,332
CapeFoulwind,1,0,C,2,+ Pred dPrey,Chamaesipho columna DEADCOUNT,FALSE,342
CapeFoulwind,1,0,C,2,+ Pred dPrey,Epopella plicata COUNT,FALSE,192
CapeFoulwind,1,0,C,2,+ Pred dPrey,Epopella plicata DEADCOUNT,FALSE,11
CapeFoulwind,1,0,C,2,+ Pred dPrey,Nereididae spp,FALSE,1
CapeFoulwind,1,0,C,2,+ Pred dPrey,Notoacmea 2spokes,FALSE,1
CapeFoulwind,1,0,C,2,+ Pred dPrey,Notoacmea Black,FALSE,12
CapeFoulwind,1,0,C,2,+ Pred dPrey,Notoacmea Radialspokes,FALSE,12
CapeFoulwind,1,0,C,2,+ Pred dPrey,Porphyra COUNT,FALSE,2
CapeFoulwind,1,0,C,2,+ Pred dPrey,Sypharochiton pelliserpentis,FALSE,1
CapeFoulwind,1,0,C,2,+ Pred dPrey,Xenostrobus pulex COUNT,FALSE,122
CapeFoulwind,1,0,C,2,+ Pred dPrey,Xenostrobus pulex DEADCOUNT,FALSE,1
CapeFoulwind,1,0,D,4,- Pred,Austrolittorina cincta,FALSE,48
CapeFoulwind,1,0,D,4,- Pred,Cellana radians,FALSE,3
CapeFoulwind,1,0,D,4,- Pred,Chamaesipho columna DEADCOUNT,FALSE,79
CapeFoulwind,1,0,D,4,- Pred,Epopella plicata COUNT,FALSE,80
CapeFoulwind,1,0,D,4,- Pred,Epopella plicata DEADCOUNT,FALSE,2
CapeFoulwind,1,0,D,4,- Pred,Nereididae spp,FALSE,1
CapeFoulwind,1,0,D,4,- Pred,Notoacmea Black,FALSE,12
CapeFoulwind,1,0,D,4,- Pred,Notoacmea Radialspokes,FALSE,8
CapeFoulwind,1,0,D,4,- Pred,Risellopsis varia,FALSE,7
CapeFoulwind,1,0,D,4,- Pred,Xenostrobus pulex COUNT,FALSE,402
CapeFoulwind,1,0,D,4,- Pred,Xenostrobus pulex DEADCOUNT,FALSE,10
CapeFoulwind,1,0,D,6,- Pred dPrey,Austrolittorina cincta,FALSE,17
CapeFoulwind,1,0,D,6,- Pred dPrey,Cellana ornata,FALSE,2
CapeFoulwind,1,0,D,6,- Pred dPrey,Chamaesipho columna DEADCOUNT,FALSE,371
CapeFoulwind,1,0,D,6,- Pred dPrey,Epopella plicata COUNT,FALSE,64
CapeFoulwind,1,0,D,6,- Pred dPrey,Epopella plicata DEADCOUNT,FALSE,2
CapeFoulwind,1,0,D,6,- Pred dPrey,Nereididae spp,FALSE,2
CapeFoulwind,1,0,D,6,- Pred dPrey,Notoacmea 2spokes,FALSE,1
CapeFoulwind,1,0,D,6,- Pred dPrey,Notoacmea Black,FALSE,15
CapeFoulwind,1,0,D,6,- Pred dPrey,Notoacmea Radialspokes,FALSE,9
CapeFoulwind,1,0,D,6,- Pred dPrey,Patelloida corticata,FALSE,1
CapeFoulwind,1,0,D,6,- Pred dPrey,Perna canaliculus COUNT,FALSE,1
CapeFoulwind,1,0,D,6,- Pred dPrey,Risellopsis varia,FALSE,5
CapeFoulwind,1,0,D,6,- Pred dPrey,Sypharochiton pelliserpentis,FALSE,1
CapeFoulwind,1,0,D,6,- Pred dPrey,UNID Algae Red,TRUE,0.1
CapeFoulwind,1,0,D,6,- Pred dPrey,Xenostrobus pulex COUNT,FALSE,233
CapeFoulwind,1,0,D,6,- Pred dPrey,Xenostrobus pulex DEADCOUNT,FALSE,9
CapeFoulwind,1,0,D,1,+ Pred,Austrolittorina antipodum,FALSE,9
CapeFoulwind,1,0,D,1,+ Pred,Austrolittorina cincta,FALSE,204
CapeFoulwind,1,0,D,1,+ Pred,Chamaesipho columna DEADCOUNT,FALSE,228
CapeFoulwind,1,0,D,1,+ Pred,Epopella plicata COUNT,FALSE,30
CapeFoulwind,1,0,D,1,+ Pred,Epopella plicata DEADCOUNT,FALSE,2
CapeFoulwind,1,0,D,1,+ Pred,Nereididae spp,FALSE,1
CapeFoulwind,1,0,D,1,+ Pred,Notoacmea Black,FALSE,30
CapeFoulwind,1,0,D,1,+ Pred,Notoacmea Radialspokes,FALSE,10
CapeFoulwind,1,0,D,1,+ Pred,Risellopsis varia,FALSE,4
CapeFoulwind,1,0,D,1,+ Pred,Xenostrobus pulex COUNT,FALSE,550
CapeFoulwind,2,0,D,1,+ Pred,Xenostrobus pulex COUNT,FALSE,573
CapeFoulwind,1,0,D,1,+ Pred,Xenostrobus pulex DEADCOUNT,FALSE,3
CapeFoulwind,1,0,D,5,+ Pred dPrey,Austrolittorina antipodum,FALSE,3
CapeFoulwind,1,0,D,5,+ Pred dPrey,Austrolittorina cincta,FALSE,143
CapeFoulwind,1,0,D,5,+ Pred dPrey,Chamaesipho columna DEADCOUNT,FALSE,107
CapeFoulwind,1,0,D,5,+ Pred dPrey,Epopella plicata COUNT,FALSE,27
CapeFoulwind,1,0,D,5,+ Pred dPrey,Epopella plicata DEADCOUNT,FALSE,1
CapeFoulwind,1,0,D,5,+ Pred dPrey,Notoacmea 2spokes,FALSE,2
CapeFoulwind,1,0,D,5,+ Pred dPrey,Notoacmea Black,FALSE,34
CapeFoulwind,1,0,D,5,+ Pred dPrey,Notoacmea Radialspokes,FALSE,7
CapeFoulwind,1,0,D,5,+ Pred dPrey,Risellopsis varia,FALSE,2
CapeFoulwind,1,0,D,5,+ Pred dPrey,Xenostrobus pulex COUNT,FALSE,290
CapeFoulwind,1,0,D,5,+ Pred dPrey,Xenostrobus pulex DEADCOUNT,FALSE,9
CapeFoulwind,1,0,E,2,- Pred,Austrolittorina antipodum,FALSE,1
CapeFoulwind,1,0,E,2,- Pred,Austrolittorina cincta,FALSE,153
CapeFoulwind,1,0,E,2,- Pred,Chamaesipho columna DEADCOUNT,FALSE,285
CapeFoulwind,1,0,E,2,- Pred,Epopella plicata COUNT,FALSE,144
CapeFoulwind,1,0,E,2,- Pred,Epopella plicata DEADCOUNT,FALSE,3
CapeFoulwind,1,0,E,2,- Pred,Nereididae spp,FALSE,1
CapeFoulwind,1,0,E,2,- Pred,Notoacmea 2spokes,FALSE,1
CapeFoulwind,1,0,E,2,- Pred,Notoacmea Black,FALSE,10
CapeFoulwind,1,0,E,2,- Pred,Notoacmea Radialspokes,FALSE,5
CapeFoulwind,1,0,E,2,- Pred,Risellopsis varia,FALSE,9
CapeFoulwind,1,0,E,2,- Pred,UNID Algae Red,TRUE,0.1
CapeFoulwind,1,0,E,2,- Pred,Xenostrobus pulex COUNT,FALSE,495
CapeFoulwind,1,0,E,2,- Pred,Xenostrobus pulex DEADCOUNT,FALSE,9
CapeFoulwind,1,0,E,4,- Pred dPrey,Austrolittorina cincta,FALSE,272
CapeFoulwind,1,0,E,4,- Pred dPrey,Chamaesipho columna DEADCOUNT,FALSE,814
CapeFoulwind,1,0,E,4,- Pred dPrey,Epopella plicata COUNT,FALSE,227
CapeFoulwind,1,0,E,4,- Pred dPrey,Epopella plicata DEADCOUNT,FALSE,15
CapeFoulwind,1,0,E,4,- Pred dPrey,Notoacmea Black,FALSE,5
CapeFoulwind,1,0,E,4,- Pred dPrey,Notoacmea Radialspokes,FALSE,4
CapeFoulwind,1,0,E,4,- Pred dPrey,Perna canaliculus COUNT,FALSE,1
CapeFoulwind,1,0,E,4,- Pred dPrey,Porphyra COUNT,FALSE,2
CapeFoulwind,1,0,E,4,- Pred dPrey,Risellopsis varia,FALSE,3
CapeFoulwind,1,0,E,4,- Pred dPrey,Sypharochiton pelliserpentis,FALSE,1
CapeFoulwind,1,0,E,4,- Pred dPrey,Xenostrobus pulex COUNT,FALSE,309
CapeFoulwind,1,0,E,4,- Pred dPrey,Xenostrobus pulex DEADCOUNT,FALSE,2
CapeFoulwind,1,0,E,6,+ Pred,Austrolittorina cincta,FALSE,97
CapeFoulwind,1,0,E,6,+ Pred,Chamaesipho columna DEADCOUNT,FALSE,209
CapeFoulwind,1,0,E,6,+ Pred,Epopella plicata COUNT,FALSE,108
CapeFoulwind,1,0,E,6,+ Pred,Epopella plicata DEADCOUNT,FALSE,7
CapeFoulwind,1,0,E,6,+ Pred,Notoacmea Black,FALSE,16
CapeFoulwind,1,0,E,6,+ Pred,Notoacmea Radialspokes,FALSE,2
CapeFoulwind,1,0,E,6,+ Pred,Risellopsis varia,FALSE,6
CapeFoulwind,1,0,E,6,+ Pred,Siphonaria australis,FALSE,1
CapeFoulwind,1,0,E,6,+ Pred,Sypharochiton pelliserpentis,FALSE,1
CapeFoulwind,1,0,E,6,+ Pred,UNID Algae Green,TRUE,0.1
CapeFoulwind,1,0,E,6,+ Pred,Xenostrobus pulex COUNT,FALSE,495
CapeFoulwind,2,0,E,6,+ Pred,Xenostrobus pulex COUNT,FALSE,586
CapeFoulwind,1,0,E,1,+ Pred dPrey,Austrolittorina antipodum,FALSE,2
CapeFoulwind,1,0,E,1,+ Pred dPrey,Austrolittorina cincta,FALSE,188
CapeFoulwind,1,0,E,1,+ Pred dPrey,Chamaesipho columna DEADCOUNT,FALSE,472
CapeFoulwind,1,0,E,1,+ Pred dPrey,Epopella plicata COUNT,FALSE,113
CapeFoulwind,1,0,E,1,+ Pred dPrey,Epopella plicata DEADCOUNT,FALSE,3
CapeFoulwind,1,0,E,1,+ Pred dPrey,Nereididae spp,FALSE,1
CapeFoulwind,1,0,E,1,+ Pred dPrey,Notoacmea 2spokes,FALSE,1
CapeFoulwind,1,0,E,1,+ Pred dPrey,Notoacmea Black,FALSE,2
CapeFoulwind,1,0,E,1,+ Pred dPrey,Notoacmea Net,FALSE,2
CapeFoulwind,1,0,E,1,+ Pred dPrey,Notoacmea Radialspokes,FALSE,6
CapeFoulwind,1,0,E,1,+ Pred dPrey,Porphyra COUNT,FALSE,1
CapeFoulwind,1,0,E,1,+ Pred dPrey,Risellopsis varia,FALSE,7
CapeFoulwind,1,0,E,1,+ Pred dPrey,Xenostrobus pulex COUNT,FALSE,262
CapeFoulwind,1,0,E,1,+ Pred dPrey,Xenostrobus pulex DEADCOUNT,FALSE,7
CapeFoulwind,1,0,F,3,- Pred,Austrolittorina cincta,FALSE,59
CapeFoulwind,1,0,F,3,- Pred,Chamaesipho columna DEADCOUNT,FALSE,111
CapeFoulwind,1,0,F,3,- Pred,Epopella plicata COUNT,FALSE,30
CapeFoulwind,1,0,F,3,- Pred,Epopella plicata DEADCOUNT,FALSE,5
CapeFoulwind,1,0,F,3,- Pred,Nereididae spp,FALSE,1
CapeFoulwind,1,0,F,3,- Pred,Notoacmea Black,FALSE,15
CapeFoulwind,1,0,F,3,- Pred,Notoacmea Radialspokes,FALSE,1
CapeFoulwind,1,0,F,3,- Pred,Risellopsis varia,FALSE,5
CapeFoulwind,1,0,F,3,- Pred,UNID Algae Green,TRUE,0.1
CapeFoulwind,1,0,F,3,- Pred,Xenostrobus pulex COUNT,FALSE,512
CapeFoulwind,1,0,F,3,- Pred,Xenostrobus pulex DEADCOUNT,FALSE,1
CapeFoulwind,1,0,F,6,- Pred dPrey,Austrolittorina cincta,FALSE,13
CapeFoulwind,1,0,F,6,- Pred dPrey,Chamaesipho columna DEADCOUNT,FALSE,229
CapeFoulwind,1,0,F,6,- Pred dPrey,Epopella plicata COUNT,FALSE,32
CapeFoulwind,1,0,F,6,- Pred dPrey,Epopella plicata DEADCOUNT,FALSE,2
CapeFoulwind,1,0,F,6,- Pred dPrey,Notoacmea Black,FALSE,13
CapeFoulwind,1,0,F,6,- Pred dPrey,Notoacmea Net,FALSE,1
CapeFoulwind,1,0,F,6,- Pred dPrey,Notoacmea Radialspokes,FALSE,13
CapeFoulwind,1,0,F,6,- Pred dPrey,Porphyra COUNT,FALSE,2
CapeFoulwind,1,0,F,6,- Pred dPrey,Risellopsis varia,FALSE,16
CapeFoulwind,1,0,F,6,- Pred dPrey,Xenostrobus pulex COUNT,FALSE,141
CapeFoulwind,1,0,F,4,+ Pred,Austrolittorina antipodum,FALSE,4
CapeFoulwind,1,0,F,4,+ Pred,Austrolittorina cincta,FALSE,113
CapeFoulwind,1,0,F,4,+ Pred,Chamaesipho columna DEADCOUNT,FALSE,181
CapeFoulwind,1,0,F,4,+ Pred,Epopella plicata COUNT,FALSE,42
CapeFoulwind,1,0,F,4,+ Pred,Notoacmea 2spokes,FALSE,1
CapeFoulwind,1,0,F,4,+ Pred,Notoacmea Black,FALSE,15
CapeFoulwind,1,0,F,4,+ Pred,Notoacmea Radialspokes,FALSE,1
CapeFoulwind,1,0,F,4,+ Pred,Risellopsis varia,FALSE,12
CapeFoulwind,1,0,F,4,+ Pred,Sypharochiton pelliserpentis,FALSE,2
CapeFoulwind,1,0,F,4,+ Pred,Xenostrobus pulex COUNT,FALSE,447
CapeFoulwind,1,0,F,4,+ Pred,Xenostrobus pulex DEADCOUNT,FALSE,5
CapeFoulwind,1,0,F,2,+ Pred dPrey,Austrolittorina antipodum,FALSE,1
CapeFoulwind,1,0,F,2,+ Pred dPrey,Austrolittorina cincta,FALSE,239
CapeFoulwind,1,0,F,2,+ Pred dPrey,Chamaesipho columna DEADCOUNT,FALSE,125
CapeFoulwind,1,0,F,2,+ Pred dPrey,Epopella plicata COUNT,FALSE,48
CapeFoulwind,1,0,F,2,+ Pred dPrey,Epopella plicata DEADCOUNT,FALSE,6
CapeFoulwind,1,0,F,2,+ Pred dPrey,Nereididae spp,FALSE,1
CapeFoulwind,1,0,F,2,+ Pred dPrey,Notoacmea Black,FALSE,14
CapeFoulwind,1,0,F,2,+ Pred dPrey,Notoacmea Radialspokes,FALSE,7
CapeFoulwind,1,0,F,2,+ Pred dPrey,Risellopsis varia,FALSE,2
CapeFoulwind,1,0,F,2,+ Pred dPrey,Xenostrobus pulex COUNT,FALSE,258
CapeFoulwind,1,-10,A,3,- Pred,Xenostrobus pulex COUNT,FALSE,589
CapeFoulwind,1,-10,A,5,- Pred dPrey,Xenostrobus pulex COUNT,FALSE,484
CapeFoulwind,1,-10,A,6,+ Pred,Xenostrobus pulex COUNT,FALSE,601
CapeFoulwind,1,-10,A,4,+ Pred dPrey,Xenostrobus pulex COUNT,FALSE,540
CapeFoulwind,1,-10,A,1,Bare Ctrl,Austrolittorina antipodum,FALSE,37
CapeFoulwind,1,-10,A,1,Bare Ctrl,Austrolittorina cincta,FALSE,119
CapeFoulwind,1,-10,A,1,Bare Ctrl,Chamaesipho columna DEADCOUNT,FALSE,4
CapeFoulwind,1,-10,A,1,Bare Ctrl,Nereididae spp,FALSE,1
CapeFoulwind,1,-10,A,1,Bare Ctrl,Notoacmea 2spokes,FALSE,2
CapeFoulwind,1,-10,A,1,Bare Ctrl,Notoacmea Black,FALSE,2
CapeFoulwind,1,-10,A,1,Bare Ctrl,Notoacmea Radialspokes,FALSE,1
CapeFoulwind,1,-10,A,1,Bare Ctrl,Xenostrobus pulex COUNT,FALSE,203
CapeFoulwind,1,-10,A,1,Bare Ctrl,Xenostrobus pulex DEADCOUNT,FALSE,2
CapeFoulwind,1,-10,A,2,Ctrl,Austrolittorina antipodum,FALSE,44
