Site,Species,# Observed,Estimated %,Interpolated #,# X 4,Picture #
CapeFoulwind,Xenostrobus pulex,14,3,439,,1
CapeFoulwind,Xenostrobus pulex,18,12,233,,
CapeFoulwind,Xenostrobus pulex,24,20,94,,
CapeFoulwind,Xenostrobus pulex,62,31,169,,2
CapeFoulwind,Xenostrobus pulex,6,3,190,,3
CapeFoulwind,Xenostrobus pulex,9,2,446,,4
CapeFoulwind,Xenostrobus pulex,10,12,92,,7
CapeFoulwind,Xenostrobus pulex,10,5,218,,8
CapeFoulwind,Xenostrobus pulex,6,2,399,,9
CapeFoulwind,Xenostrobus pulex,36,13,138,,10
CapeFoulwind,Xenostrobus pulex,54,82,73,,
CapeFoulwind,Xenostrobus pulex,40,47,80,,
CapeFoulwind,Xenostrobus pulex,67,85,86,,
CapeFoulwind,Xenostrobus pulex,37,81,56,,
CapeFoulwind,Xenostrobus pulex,82,74,129,,
CapeFoulwind,Xenostrobus pulex,75,88,89,,
CapeFoulwind,Xenostrobus pulex,48,75,76,,
CapeFoulwind,Xenostrobus pulex,48,52,110,,
CapeFoulwind,Xenostrobus pulex,78,86,92,,
CapeFoulwind,Xenostrobus pulex,50,89,67,,
CapeFoulwind,Xenostrobus pulex,60,75,82,,
CapeFoulwind,Xenostrobus pulex,42,84,59,,
CapeFoulwind,Xenostrobus pulex,72,78,87,,
CapeFoulwind,Xenostrobus pulex,45,94,49,,
CapeFoulwind,Xenostrobus pulex,50,79,64,,
CapeFoulwind,Xenostrobus pulex,27,88,32
CapeFoulwind,Xenostrobus pulex,40,85,46
CapeFoulwind,Xenostrobus pulex,19,30,59
CapeFoulwind,Xenostrobus pulex,38,87,45
CapeFoulwind,Xenostrobus pulex,71,43,161
CapeFoulwind,Xenostrobus pulex,26,53,58
CapeFoulwind,Xenostrobus pulex,51,86,69
CapeFoulwind,Xenostrobus pulex,63,90,68
CapeFoulwind,Xenostrobus pulex,66,97,68
CapeFoulwind,Xenostrobus pulex,65,100,65
CapeFoulwind,Xenostrobus pulex,2,8,73
CapeFoulwind,Xenostrobus pulex,52,66,74
CapeFoulwind,Xenostrobus pulex,37,52,60
CapeFoulwind,Xenostrobus pulex,22,46,59
CapeFoulwind,Xenostrobus pulex,46,68,65
CapeFoulwind,Xenostrobus pulex,50,88,53
CapeFoulwind,Xenostrobus pulex,49,94,51
CapeFoulwind,Xenostrobus pulex,42,78,50
CapeFoulwind,Xenostrobus pulex,45,89,51
CapeFoulwind,Xenostrobus pulex,73,100,73
CapeFoulwind,Xenostrobus pulex,63,81,74
CapeFoulwind,Xenostrobus pulex,50,77,74
CapeFoulwind,Xenostrobus pulex,50,75,69
CapeFoulwind,Xenostrobus pulex,33,56,69
CapeFoulwind,Mytilus galloprovincialis,3,80,4
CapeFoulwind,Mytilus galloprovincialis,4,54,8
CapeFoulwind,Mytilus galloprovincialis,5,71,7
CapeFoulwind,Mytilus galloprovincialis,7,76,9
CapeFoulwind,Mytilus galloprovincialis,10,77,13
CapeFoulwind,Mytilus galloprovincialis,7,44,14
CapeFoulwind,Mytilus galloprovincialis,6,49,10
CapeFoulwind,Mytilus galloprovincialis,8,100,8
CapeFoulwind,Mytilus galloprovincialis,9,71,12
CapeFoulwind,Mytilus galloprovincialis,2,24,10
CapeFoulwind,Mytilus galloprovincialis,8,76,10
CapeFoulwind,Mytilus galloprovincialis,2,24,8
CapeFoulwind,Mytilus galloprovincialis,3,52,6
CapeFoulwind,Mytilus galloprovincialis,8,56,14
CapeFoulwind,Mytilus galloprovincialis,4,83,5
CapeFoulwind,Mytilus galloprovincialis,2,88,3
CapeFoulwind,Mytilus galloprovincialis,4,85,5
CapeFoulwind,Mytilus galloprovincialis,5,57,9
CapeFoulwind,Mytilus galloprovincialis,7,54,12
CapeFoulwind,Mytilus galloprovincialis,7,76,9
CapeFoulwind,Mytilus galloprovincialis,2,38,5
CapeFoulwind,Mytilus galloprovincialis,12,100,12
CapeFoulwind,Mytilus galloprovincialis,6,71,8
CapeFoulwind,Mytilus galloprovincialis,1,20,8
CapeFoulwind,Mytilus galloprovincialis,1,38,3
CapeFoulwind,Mytilus galloprovincialis,4,27,14
CapeFoulwind,Mytilus galloprovincialis,3,32,10
CapeFoulwind,Mytilus galloprovincialis,5,44,10
CapeFoulwind,Mytilus galloprovincialis,5,26,19
CapeFoulwind,Mytilus galloprovincialis,3,24,10
CapeFoulwind,Calantica spp,2,14,16
CapeFoulwind,Calantica spp,5,100,5
CapeFoulwind,Calantica spp,9,88,10
CapeFoulwind,Calantica spp,3,33,11
CapeFoulwind,Calantica spp,1,4,29
CapeFoulwind,Calantica spp,8,63,10
CapeFoulwind,Calantica spp,10,56,17
CapeFoulwind,Calantica spp,6,49,14
CapeFoulwind,Calantica spp,8,72,11
CapeFoulwind,Calantica spp,2,22,9
CapeFoulwind,Calantica spp,5,34,18
CapeFoulwind,Calantica spp,8,75,11
CapeFoulwind,Calantica spp,10,92,11
CapeFoulwind,Calantica spp,4,11,26
CapeFoulwind,Calantica spp,6,53,10
CapeFoulwind,Aulacomya atra maoriana,3,23,16
CapeFoulwind,Aulacomya atra maoriana,1,11,14
CapeFoulwind,Aulacomya atra maoriana,2,18,9
CapeFoulwind,Aulacomya atra maoriana,1,6,20
CapeFoulwind,Aulacomya atra maoriana,1,5,17
CapeFoulwind,Aulacomya atra maoriana,3,17,21
CapeFoulwind,Aulacomya atra maoriana,3,15,19
CapeFoulwind,Aulacomya atra maoriana,5,13,27
CapeFoulwind,Aulacomya atra maoriana,4,17,26
CapeFoulwind,Aulacomya atra maoriana,2,12,17
CapeFoulwind,Aulacomya atra maoriana,1,6,15
CapeFoulwind,Aulacomya atra maoriana,1,11,12,,
CapeFoulwind,Aulacomya atra maoriana,2,8,17,,
CapeFoulwind,Aulacomya atra maoriana,2,9,21,,
CapeFoulwind,Aulacomya atra maoriana,3,28,16,,
JacksonHead,Chamaesipho columna,80,28,426,,1
JacksonHead,Chamaesipho columna,57,16,398,,
JacksonHead,Chamaesipho columna,85,30,360,,
JacksonHead,Chamaesipho columna,82,26,504,,2
JacksonHead,Chamaesipho columna,183,48,468,,
JacksonHead,Chamaesipho columna,170,27,483,,
JacksonHead,Chamaesipho columna,112,28,418,,3
JacksonHead,Chamaesipho columna,246,42,517,,
JacksonHead,Chamaesipho columna,17,4,306,,
JacksonHead,Chamaesipho columna,141,35,401,,4
JacksonHead,Chamaesipho columna,345,71,527,,
JacksonHead,Chamaesipho columna,112,33,461,,
JacksonHead,Chamaesipho columna,78,17,484,,5
JacksonHead,Chamaesipho columna,267,52,463,,
JacksonHead,Chamaesipho columna,51,9,442,,
JacksonHead,Chamaesipho columna,40,8,479,,6
JacksonHead,Chamaesipho columna,157,51,455,,
JacksonHead,Chamaesipho columna,231,63,441,,
JacksonHead,Chamaesipho columna,335,75,447,,7
JacksonHead,Chamaesipho columna,223,82,318,,
JacksonHead,Chamaesipho columna,17,4,372,,
JacksonHead,Chamaesipho columna,3,2,289,,8
JacksonHead,Chamaesipho columna,18,6,312,,
JacksonHead,Chamaesipho columna,206,64,371,,
JacksonHead,Chamaesipho columna,130,21,557,,9
JacksonHead,Chamaesipho columna,81,17,438,,
JacksonHead,Chamaesipho columna,121,19,566,,
JacksonHead,Epopella plicata,14,24,42,,
JacksonHead,Epopella plicata,18,33,48
JacksonHead,Epopella plicata,7,14,35
JacksonHead,Epopella plicata,9,10,107
JacksonHead,Epopella plicata,27,26,85
JacksonHead,Epopella plicata,15,22,77
JacksonHead,Epopella plicata,11,19,60
JacksonHead,Epopella plicata,9,24,51
JacksonHead,Epopella plicata,1,4,38
JacksonHead,Epopella plicata,3,37,9
JacksonHead,Epopella plicata,5,12,35
JacksonHead,Epopella plicata,2,8,30
JacksonHead,Epopella plicata,1,5,27
JacksonHead,Epopella plicata,9,27,39
JacksonHead,Epopella plicata,29,84,37
JacksonHead,Epopella plicata,23,24,87
JacksonHead,Epopella plicata,44,66,74
JacksonHead,Epopella plicata,11,23,47
JacksonHead,Epopella plicata,19,28,82
JacksonHead,Epopella plicata,25,31,53
JacksonHead,Epopella plicata,16,25,60
JacksonHead,Epopella plicata,18,18,107
JacksonHead,Epopella plicata,11,20,64
JacksonHead,Epopella plicata,29,23,145
JacksonHead,Epopella plicata,13,37,37
JacksonHead,Epopella plicata,4,24,22
JacksonHead,Epopella plicata,7,16,45
JacksonHead,Epopella plicata,8,19,38
JacksonHead,Epopella plicata,3,11,33
JacksonHead,Epopella plicata,5,18,50
JacksonHead,Xenostrobus pulex,57,25,198
JacksonHead,Xenostrobus pulex,42,31,323
JacksonHead,Xenostrobus pulex,53,32,121
JacksonHead,Xenostrobus pulex,14,5,267
JacksonHead,Xenostrobus pulex,55,22,236
JacksonHead,Xenostrobus pulex,108,67,189
JacksonHead,Xenostrobus pulex,10,4,383
JacksonHead,Xenostrobus pulex,8,2,306
JacksonHead,Xenostrobus pulex,1,0.5,
JacksonHead,Xenostrobus pulex,10,6,209
JacksonHead,Xenostrobus pulex,35,10,374
JacksonHead,Xenostrobus pulex,61,14,279
JacksonHead,Xenostrobus pulex,41,11,417
JacksonHead,Xenostrobus pulex,62,49,129
JacksonHead,Xenostrobus pulex,37,27,128
JacksonHead,Xenostrobus pulex,21,16,127
JacksonHead,Xenostrobus pulex,123,65,181
JacksonHead,Xenostrobus pulex,19,11,151
JacksonHead,Xenostrobus pulex,65,83,86
JacksonHead,Xenostrobus pulex,52,81,70
JacksonHead,Xenostrobus pulex,10,6,184
JacksonHead,Xenostrobus pulex,32,52,61
JacksonHead,Xenostrobus pulex,49,76,61
JacksonHead,Xenostrobus pulex,19,17,71
JacksonHead,Xenostrobus pulex,75,98,78
JacksonHead,Xenostrobus pulex,98,93,104
JacksonHead,Xenostrobus pulex,87,96,92
JacksonHead,Xenostrobus pulex,26,7,273
JacksonHead,Xenostrobus pulex,66,24,360
JacksonHead,Xenostrobus pulex,75,99,73
JacksonHead,Calantica spp,7,30,9
JacksonHead,Calantica spp,2,26,8
JacksonHead,Calantica spp,5,23,16
JacksonHead,Calantica spp,3,25,12
JacksonHead,Calantica spp,5,98,6
JacksonHead,Calantica spp,5,86,7
JacksonHead,Calantica spp,5,79,7
JacksonHead,Calantica spp,1,21,6
JacksonHead,Calantica spp,6,46,13
JacksonHead,Calantica spp,1,15,6
JacksonHead,Calantica spp,1,12,8
JacksonHead,Calantica spp,5,51,9
JacksonHead,Calantica spp,1,21,6
JacksonHead,Calantica spp,1,19,6
JacksonHead,Calantica spp,1,17,7
JacksonHead,Mytilus galloprovincialis,2,22,10
JacksonHead,Mytilus galloprovincialis,8,37,21
JacksonHead,Mytilus galloprovincialis,11,23,44
JacksonHead,Mytilus galloprovincialis,5,41,12
JacksonHead,Mytilus galloprovincialis,4,14,23
JacksonHead,Mytilus galloprovincialis,10,44,18
JacksonHead,Mytilus galloprovincialis,1,11,10,,
JacksonHead,Mytilus galloprovincialis,2,26,9,,
JacksonHead,Mytilus galloprovincialis,15,33,41,,
JacksonHead,Mytilus galloprovincialis,3,24,17,,
JacksonHead,Mytilus galloprovincialis,2,12,18,,
JacksonHead,Mytilus galloprovincialis,4,9,41,,
JacksonHead,Mytilus galloprovincialis,2,34,6,,
JacksonHead,Mytilus galloprovincialis,7,25,30,,
JacksonHead,Mytilus galloprovincialis,2,27,13,,
OkahuPoint,Chamaesipho columna,108,22,506,,1
OkahuPoint,Chamaesipho columna,83,16,485,,2
OkahuPoint,Chamaesipho columna,91,17,463,,3
OkahuPoint,Chamaesipho columna,204,68,402,,4
OkahuPoint,Chamaesipho columna,163,41,386,,5
OkahuPoint,Chamaesipho columna,243,63,397,,6
OkahuPoint,Chamaesipho columna,45,11,376,,7
OkahuPoint,Chamaesipho columna,57,14,461,,8
OkahuPoint,Chamaesipho columna,274,72,437,,9
OkahuPoint,Chamaesipho columna,295,79,406,,10
OkahuPoint,Chamaesipho columna,332,85,428,,11
OkahuPoint,Chamaesipho columna,138,27,522,,12
OkahuPoint,Chamaesipho columna,30,6,419,,13
OkahuPoint,Chamaesipho columna,241,52,493,,14
OkahuPoint,Chamaesipho columna,192,64,391,,15
OkahuPoint,Chamaesipho columna,200,47,474,,16
OkahuPoint,Chamaesipho columna,203,63,411,,17
OkahuPoint,Chamaesipho columna,233,70,391,,18
OkahuPoint,Chamaesipho columna,69,16,444,,19
OkahuPoint,Chamaesipho columna,201,44,432,,20
OkahuPoint,Chamaesipho columna,36,7,418,,
OkahuPoint,Chamaesipho columna,252,66,446,,
OkahuPoint,Chamaesipho columna,172,48,420,,
OkahuPoint,Chamaesipho columna,313,91,443,,
OkahuPoint,Chamaesipho columna,130,33,427,,
OkahuPoint,Chamaesipho columna,397,95,418,,
OkahuPoint,Chamaesipho columna,224,64,384,,
OkahuPoint,Chamaesipho columna,191,49,422,,
OkahuPoint,Chamaesipho columna,59,16,399,,
OkahuPoint,Chamaesipho columna,93,24,403,,
OkahuPoint,Epopella plicata,2,25,48,,20
OkahuPoint,Epopella plicata,9,24,24,,
OkahuPoint,Epopella plicata,7,16,34,,
OkahuPoint,Epopella plicata,13,30,41,,
OkahuPoint,Epopella plicata,19,52,35,,
OkahuPoint,Epopella plicata,8,27,33,,
OkahuPoint,Epopella plicata,1,3,33,,
OkahuPoint,Epopella plicata,1,5,26,,
OkahuPoint,Epopella plicata,2,14,17,,
OkahuPoint,Epopella plicata,2,11,24
OkahuPoint,Epopella plicata,16,82,21
OkahuPoint,Epopella plicata,11,28,47
OkahuPoint,Epopella plicata,1,3,34
OkahuPoint,Epopella plicata,2,8,30
OkahuPoint,Epopella plicata,11,43,25
OkahuPoint,Epopella plicata,56,92,60
OkahuPoint,Epopella plicata,18,38,42
OkahuPoint,Epopella plicata,41,84,48
OkahuPoint,Epopella plicata,8,22,29
OkahuPoint,Epopella plicata,25,81,33
OkahuPoint,Epopella plicata,22,25,81
OkahuPoint,Epopella plicata,7,19,24
OkahuPoint,Epopella plicata,17,31,44
OkahuPoint,Epopella plicata,17,28,46
OkahuPoint,Epopella plicata,18,53,32
OkahuPoint,Epopella plicata,2,6,38
OkahuPoint,Epopella plicata,20,26,72
OkahuPoint,Epopella plicata,9,23,36
OkahuPoint,Epopella plicata,6,10,49
OkahuPoint,Epopella plicata,4,3,97
OkahuPoint,Xenostrobus pulex,44,26,179
OkahuPoint,Xenostrobus pulex,64,29,202
OkahuPoint,Xenostrobus pulex,71,81,99
OkahuPoint,Xenostrobus pulex,33,17,217
OkahuPoint,Xenostrobus pulex,132,99,133
OkahuPoint,Xenostrobus pulex,148,92,169
OkahuPoint,Xenostrobus pulex,38,28,106
OkahuPoint,Xenostrobus pulex,27,9,253
OkahuPoint,Xenostrobus pulex,148,96,155
OkahuPoint,Xenostrobus pulex,18,8,182
OkahuPoint,Xenostrobus pulex,8,13,89
OkahuPoint,Xenostrobus pulex,26,36,78
OkahuPoint,Xenostrobus pulex,18,6,275
OkahuPoint,Xenostrobus pulex,30,11,286
OkahuPoint,Xenostrobus pulex,17,12,132
OkahuPoint,Xenostrobus pulex,49,10,443
OkahuPoint,Xenostrobus pulex,77,16,447
OkahuPoint,Xenostrobus pulex,41,8,416
OkahuPoint,Xenostrobus pulex,76,13,435
OkahuPoint,Xenostrobus pulex,49,12,418
OkahuPoint,Xenostrobus pulex,35,7,523
OkahuPoint,Xenostrobus pulex,11,3,402
OkahuPoint,Xenostrobus pulex,23,6,421
OkahuPoint,Xenostrobus pulex,92,2,419
OkahuPoint,Xenostrobus pulex,55,19,383
OkahuPoint,Xenostrobus pulex,61,11,688
OkahuPoint,Xenostrobus pulex,49,13,432
OkahuPoint,Xenostrobus pulex,119,25,482
OkahuPoint,Xenostrobus pulex,40,13,371
OkahuPoint,Xenostrobus pulex,58,76,78
OkahuPoint,Mytilus galloprovincialis,6,27,19
OkahuPoint,Mytilus galloprovincialis,1,23,5
OkahuPoint,Mytilus galloprovincialis,6,24,27
OkahuPoint,Mytilus galloprovincialis,4,19,22
OkahuPoint,Mytilus galloprovincialis,3,31,14
OkahuPoint,Mytilus galloprovincialis,1,11,9
OkahuPoint,Mytilus galloprovincialis,6,9,57
OkahuPoint,Mytilus galloprovincialis,1,16,7
OkahuPoint,Mytilus galloprovincialis,2,9,19
OkahuPoint,Mytilus galloprovincialis,3,8,33
OkahuPoint,Mytilus galloprovincialis,2,12,18
OkahuPoint,Mytilus galloprovincialis,5,12,53
OkahuPoint,Mytilus galloprovincialis,3,29,10
OkahuPoint,Mytilus galloprovincialis,3,24,10
OkahuPoint,Mytilus galloprovincialis,1,7,25
OkahuPoint,Calantica spp,11,95,12
OkahuPoint,Calantica spp,4,46,11
OkahuPoint,Calantica spp,1,27,5
OkahuPoint,Calantica spp,1,17,8
OkahuPoint,Calantica spp,5,33,12
OkahuPoint,Calantica spp,5,41,10
OkahuPoint,Calantica spp,8,90,9
OkahuPoint,Calantica spp,8,88,9
OkahuPoint,Calantica spp,9,96,10
OkahuPoint,Calantica spp,2,27,11
OkahuPoint,Calantica spp,6,86,7
OkahuPoint,Calantica spp,8,74,11
OkahuPoint,Calantica spp,2,23,11
OkahuPoint,Calantica spp,10,100,10
OkahuPoint,Calantica spp,5,52,9
OkahuPoint,Aulacomya atra maoriana,4,16,52
OkahuPoint,Aulacomya atra maoriana,6,21,43
OkahuPoint,Aulacomya atra maoriana,7,18,42
OkahuPoint,Aulacomya atra maoriana,4,16,30
OkahuPoint,Aulacomya atra maoriana,5,20,23
OkahuPoint,Aulacomya atra maoriana,3,25,14
OkahuPoint,Aulacomya atra maoriana,3,14,22
OkahuPoint,Aulacomya atra maoriana,3,21,18
OkahuPoint,Aulacomya atra maoriana,3,14,23
OkahuPoint,Aulacomya atra maoriana,3,9,11
OkahuPoint,Aulacomya atra maoriana,1,15,7
OkahuPoint,Aulacomya atra maoriana,5,8,58
OkahuPoint,Aulacomya atra maoriana,4,6,83
OkahuPoint,Aulacomya atra maoriana,2,10,23
OkahuPoint,Aulacomya atra maoriana,11,27,41
PaiaPoint,Aulacomya atra maoriana,2,7,39,,
PaiaPoint,Aulacomya atra maoriana,4,10,43,,
PaiaPoint,Aulacomya atra maoriana,3,14,22,,
PaiaPoint,Calantica spp,1,19,7,,
PaiaPoint,Calantica spp,4,36,10,,
PaiaPoint,Calantica spp,1,26,4,,
PaiaPoint,Calantica spp,4,51,8,,
PaiaPoint,Calantica spp,1,8,18,,
PaiaPoint,Calantica spp,1,13,9,,
PaiaPoint,Calantica spp,5,82,7,,
PaiaPoint,Calantica spp,3,57,6,,
PaiaPoint,Chamaesipho brunnea,90,48,238,,1
PaiaPoint,Chamaesipho brunnea,67,51,130,,2
PaiaPoint,Chamaesipho brunnea,31,66,123,,3
PaiaPoint,Chamaesipho brunnea,33,50,172,,4
PaiaPoint,Chamaesipho brunnea,83,84,96,,5
PaiaPoint,Chamaesipho brunnea,75,36,153,,6
PaiaPoint,Chamaesipho brunnea,62,73,79,,7
PaiaPoint,Chamaesipho brunnea,103,55,175,,8
PaiaPoint,Chamaesipho brunnea,40,29,94,,9
PaiaPoint,Chamaesipho brunnea,73,26,196,,10
PaiaPoint,Chamaesipho brunnea,29,20,157,,11
PaiaPoint,Chamaesipho brunnea,99,18,455,,
PaiaPoint,Chamaesipho brunnea,83,19,337,,12
PaiaPoint,Chamaesipho brunnea,51,48,127,,13
PaiaPoint,Chamaesipho brunnea,30,9,259,,14
PaiaPoint,Chamaesipho brunnea,74,50,149,,15
PaiaPoint,Chamaesipho brunnea,52,49,84,,
PaiaPoint,Chamaesipho brunnea,27,34,69,,16
PaiaPoint,Chamaesipho brunnea,33,33,98,,
PaiaPoint,Chamaesipho brunnea,35,41,101,,
PaiaPoint,Chamaesipho brunnea,19,14,108,,
PaiaPoint,Chamaesipho brunnea,22,17,103,,
PaiaPoint,Chamaesipho brunnea,3,3,130,,
PaiaPoint,Chamaesipho columna,98,41,311,,1
PaiaPoint,Chamaesipho columna,57,29,404,,2
PaiaPoint,Chamaesipho columna,22,5,422,,3
PaiaPoint,Chamaesipho columna,11,4,266,,5
PaiaPoint,Chamaesipho columna,64,7,383,,6
PaiaPoint,Chamaesipho columna,64,9,324,,9
PaiaPoint,Chamaesipho columna,77,15,447,,10
PaiaPoint,Chamaesipho columna,88,12,393,,11
PaiaPoint,Chamaesipho columna,25,6,451,,
PaiaPoint,Chamaesipho columna,64,15,417,,12
PaiaPoint,Chamaesipho columna,56,13,406,,13
PaiaPoint,Chamaesipho columna,153,52,398,,14
PaiaPoint,Chamaesipho columna,38,11,366,,15
PaiaPoint,Chamaesipho columna,56,21,311,,
PaiaPoint,Chamaesipho columna,101,35,291,,16
PaiaPoint,Chamaesipho columna,109,33,270,,
PaiaPoint,Chamaesipho columna,102,30,273,,
PaiaPoint,Chamaesipho columna,235,67,345,,
PaiaPoint,Chamaesipho columna,136,52,296,,
PaiaPoint,Chamaesipho columna,302,78,380,,
PaiaPoint,Epopella plicata,4,14,50,,4
PaiaPoint,Epopella plicata,9,12,47,,14
PaiaPoint,Mytilus galloprovincialis,1,16,7,,
PaiaPoint,Mytilus galloprovincialis,3,32,8,,
PaiaPoint,Mytilus galloprovincialis,2,28,7,,
PaiaPoint,Mytilus galloprovincialis,2,31,6,,
PaiaPoint,Mytilus galloprovincialis,2,37,6,,
PaiaPoint,Mytilus galloprovincialis,1,24,5,,
PaiaPoint,Mytilus galloprovincialis,9,47,29,,
PaiaPoint,Mytilus galloprovincialis,1,33,4,,
PaiaPoint,Mytilus galloprovincialis,1,22,4,,
PaiaPoint,Mytilus galloprovincialis,1,21,5,,
PaiaPoint,Mytilus galloprovincialis,12,63,19,,
PaiaPoint,Xenostrobus pulex,1,1.5,141,,1
PaiaPoint,Xenostrobus pulex,6,2,348,,3
PaiaPoint,Xenostrobus pulex,2,1,234,,7
Rakautara,Chamaesipho brunnea,27,8,361,,1
Rakautara,Chamaesipho brunnea,88,46,178,,2
Rakautara,Chamaesipho brunnea,67,65,147,,3
Rakautara,Chamaesipho brunnea,14,4,277,,4
Rakautara,Chamaesipho brunnea,72,30,224,,5
Rakautara,Chamaesipho brunnea,44,51,77,,6
Rakautara,Chamaesipho brunnea,76,47,176,,7
Rakautara,Chamaesipho brunnea,88,68,134,,8
Rakautara,Chamaesipho brunnea,25,14,132,,9
Rakautara,Chamaesipho brunnea,59,53,93,,10
Rakautara,Chamaesipho brunnea,121,82,136,,11
Rakautara,Chamaesipho brunnea,19,7,281,,12
Rakautara,Chamaesipho brunnea,11,4,311,,13
Rakautara,Chamaesipho columna,13,2,506,,2
Rakautara,Chamaesipho columna,85,31,257,,3
Rakautara,Chamaesipho columna,60,22,283,,4
Rakautara,Chamaesipho columna,39,16,340,,5
Rakautara,Chamaesipho columna,4,1.5,272,,6
Rakautara,Chamaesipho columna,42,17,351,,9
Rakautara,Chamaesipho columna,18,6,275,,12
Rakautara,Chamaesipho columna,165,52,341,,13
Rakautara,Epopella plicata,1,3,43,,1
Rakautara,Epopella plicata,20,48,41,,12
Rakautara,Epopella plicata,5,9,49,,13
Rakautara,Xenostrobus pulex,2,1.5,184,,6
Rakautara,Calantica spp,8,90,9,,
Rakautara,Calantica spp,4,53,8,,
Rakautara,Calantica spp,1,8,11,,
TaurangaHead,Chamaesipho columna,124,41,408,,
TaurangaHead,Chamaesipho columna,38,4,528,,
TaurangaHead,Chamaesipho columna,153,32,472,,
TaurangaHead,Chamaesipho columna,46,9,509,,
TaurangaHead,Chamaesipho columna,163,38,362,,1
TaurangaHead,Chamaesipho columna,506,84,587,,2
TaurangaHead,Chamaesipho columna,127,36,416,,3
TaurangaHead,Chamaesipho columna,423,83,593,,4
TaurangaHead,Chamaesipho columna,503,82,642,,5
TaurangaHead,Chamaesipho columna,346,51,832,,6
TaurangaHead,Chamaesipho columna,29,6,616,,7
TaurangaHead,Chamaesipho columna,186,63,333,,8
TaurangaHead,Chamaesipho columna,46,10,360,,9
TaurangaHead,Chamaesipho columna,174,61,343,,10
TaurangaHead,Chamaesipho columna,134,39,309,,11
TaurangaHead,Chamaesipho columna,97,24,384,,
TaurangaHead,Chamaesipho columna,10,5,408,,
TaurangaHead,Chamaesipho columna,239,47,545,,12
TaurangaHead,Chamaesipho columna,109,34,326,,
