Site,Year,Season,SurveyType,TideZone,Transect,Quad,QuadSize,SpeciesName,MainQuadOnlySpecies,PercentCoverSpecies,ExtrapolatedCount
CapeFoulwind,2006,Summer,Quads_All_species,High,1,2,0.25,Austrolittorina cincta,TRUE,FALSE,1010
CapeFoulwind,2006,Summer,Quads_All_species,High,1,2,0.25,Bare Rock,FALSE,TRUE,12
CapeFoulwind,2006,Summer,Quads_All_species,High,1,2,0.25,Calantica spinosa,FALSE,TRUE,2
CapeFoulwind,2006,Summer,Quads_All_species,High,1,2,0.25,Cellana ornata,FALSE,FALSE,2
CapeFoulwind,2006,Summer,Quads_All_species,High,1,2,0.25,Chamaesipho columna,FALSE,TRUE,77
CapeFoulwind,2006,Summer,Quads_All_species,High,1,2,0.25,Coralline Encrusting Paint,FALSE,TRUE,0.1
CapeFoulwind,2006,Summer,Quads_All_species,High,1,2,0.25,Epopella plicata,FALSE,TRUE,7
CapeFoulwind,2006,Summer,Quads_All_species,High,1,2,0.25,Haustrum scobina,FALSE,FALSE,48
CapeFoulwind,2006,Summer,Quads_All_species,High,1,2,0.25,Mytilus galloprovincialis,FALSE,TRUE,0.5
CapeFoulwind,2006,Summer,Quads_All_species,High,1,2,0.25,Notoacmea Black,TRUE,FALSE,6.66
CapeFoulwind,2006,Summer,Quads_All_species,High,1,2,0.25,Notoacmea Net,TRUE,FALSE,6.66
CapeFoulwind,2006,Summer,Quads_All_species,High,1,2,0.25,Notoacmea Radialspokes,TRUE,FALSE,23.33
CapeFoulwind,2006,Summer,Quads_All_species,High,1,2,0.25,Patelloida corticata,TRUE,FALSE,1
CapeFoulwind,2006,Summer,Quads_All_species,High,1,2,0.25,Risellopsis varia,TRUE,FALSE,15
CapeFoulwind,2006,Summer,Quads_All_species,High,1,2,0.25,Siphonaria australis,TRUE,FALSE,1
CapeFoulwind,2006,Summer,Quads_All_species,High,1,2,0.25,Sypharochiton pelliserpentis,FALSE,FALSE,7
CapeFoulwind,2006,Summer,Quads_All_species,High,1,2,0.25,UNID Anemone,FALSE,TRUE,0.1
CapeFoulwind,2006,Summer,Quads_All_species,High,1,2,0.25,UNID Macroalgae,FALSE,TRUE,0.1
CapeFoulwind,2006,Summer,Quads_All_species,High,1,2,0.25,Xenostrobus pulex,FALSE,TRUE,2
CapeFoulwind,2006,Summer,Quads_All_species,High,1,3,0.25,Austrolittorina antipodum,TRUE,FALSE,6.66
CapeFoulwind,2006,Summer,Quads_All_species,High,1,3,0.25,Austrolittorina cincta,TRUE,FALSE,2000
CapeFoulwind,2006,Summer,Quads_All_species,High,1,3,0.25,Bare Rock,FALSE,TRUE,8
CapeFoulwind,2006,Summer,Quads_All_species,High,1,3,0.25,Chamaesipho columna,FALSE,TRUE,69
CapeFoulwind,2006,Summer,Quads_All_species,High,1,3,0.25,Epopella plicata,FALSE,TRUE,15
CapeFoulwind,2006,Summer,Quads_All_species,High,1,3,0.25,Haustrum scobina,FALSE,FALSE,53
CapeFoulwind,2006,Summer,Quads_All_species,High,1,3,0.25,Notoacmea 2spokes,TRUE,FALSE,3.33
CapeFoulwind,2006,Summer,Quads_All_species,High,1,3,0.25,Notoacmea Black,TRUE,FALSE,23.33
CapeFoulwind,2006,Summer,Quads_All_species,High,1,3,0.25,Notoacmea Net,TRUE,FALSE,3.33
CapeFoulwind,2006,Summer,Quads_All_species,High,1,3,0.25,Notoacmea Radialspokes,TRUE,FALSE,50
CapeFoulwind,2006,Summer,Quads_All_species,High,1,3,0.25,Patelloida corticata,TRUE,FALSE,1
CapeFoulwind,2006,Summer,Quads_All_species,High,1,3,0.25,Risellopsis varia,TRUE,FALSE,7
CapeFoulwind,2006,Summer,Quads_All_species,High,1,3,0.25,Siphonaria australis,TRUE,FALSE,2
CapeFoulwind,2006,Summer,Quads_All_species,High,1,3,0.25,Sypharochiton pelliserpentis,FALSE,FALSE,6
CapeFoulwind,2006,Summer,Quads_All_species,High,1,3,0.25,UNID Anemone,FALSE,TRUE,0.1
CapeFoulwind,2006,Summer,Quads_All_species,High,1,3,0.25,UNID Tar,FALSE,TRUE,0.1
CapeFoulwind,2006,Summer,Quads_All_species,High,1,3,0.25,Xenostrobus pulex,FALSE,TRUE,8
CapeFoulwind,2006,Summer,Quads_All_species,High,1,4,0.25,Aulacomya atra maoriana,FALSE,TRUE,0.1
CapeFoulwind,2006,Summer,Quads_All_species,High,1,4,0.25,Austrolittorina antipodum,TRUE,FALSE,43.33
CapeFoulwind,2006,Summer,Quads_All_species,High,1,4,0.25,Austrolittorina cincta,TRUE,FALSE,1193.33
CapeFoulwind,2006,Summer,Quads_All_species,High,1,4,0.25,Bare Rock,FALSE,TRUE,6
CapeFoulwind,2006,Summer,Quads_All_species,High,1,4,0.25,Cellana ornata,FALSE,FALSE,1
CapeFoulwind,2006,Summer,Quads_All_species,High,1,4,0.25,Chamaesipho columna,FALSE,TRUE,67
CapeFoulwind,2006,Summer,Quads_All_species,High,1,4,0.25,Epopella plicata,FALSE,TRUE,6
CapeFoulwind,2006,Summer,Quads_All_species,High,1,4,0.25,Haustrum scobina,FALSE,FALSE,10
CapeFoulwind,2006,Summer,Quads_All_species,High,1,4,0.25,Mytilus galloprovincialis,FALSE,TRUE,0.1
CapeFoulwind,2006,Summer,Quads_All_species,High,1,4,0.25,Notoacmea Black,TRUE,FALSE,16.66
CapeFoulwind,2006,Summer,Quads_All_species,High,1,4,0.25,Notoacmea Radialspokes,TRUE,FALSE,10
CapeFoulwind,2006,Summer,Quads_All_species,High,1,4,0.25,Patelloida corticata,TRUE,FALSE,2
CapeFoulwind,2006,Summer,Quads_All_species,High,1,4,0.25,Risellopsis varia,TRUE,FALSE,5
CapeFoulwind,2006,Summer,Quads_All_species,High,1,4,0.25,Sypharochiton pelliserpentis,FALSE,FALSE,4
CapeFoulwind,2006,Summer,Quads_All_species,High,1,4,0.25,UNID Macroalgae,FALSE,TRUE,0.1
CapeFoulwind,2006,Summer,Quads_All_species,High,1,4,0.25,Xenostrobus pulex,FALSE,TRUE,25
CapeFoulwind,2006,Summer,Quads_All_species,High,1,5,0.25,Austrolittorina antipodum,TRUE,FALSE,3
CapeFoulwind,2006,Summer,Quads_All_species,High,1,5,0.25,Austrolittorina cincta,TRUE,FALSE,460
CapeFoulwind,2006,Summer,Quads_All_species,High,1,5,0.25,Bare Rock,FALSE,TRUE,2
CapeFoulwind,2006,Summer,Quads_All_species,High,1,5,0.25,Chamaesipho columna,FALSE,TRUE,43
CapeFoulwind,2006,Summer,Quads_All_species,High,1,5,0.25,Epopella plicata,FALSE,TRUE,4
CapeFoulwind,2006,Summer,Quads_All_species,High,1,5,0.25,Haustrum scobina,FALSE,FALSE,3
CapeFoulwind,2006,Summer,Quads_All_species,High,1,5,0.25,Mytilus galloprovincialis,FALSE,TRUE,1
CapeFoulwind,2006,Summer,Quads_All_species,High,1,5,0.25,Nereididae spp,FALSE,FALSE,1
CapeFoulwind,2006,Summer,Quads_All_species,High,1,5,0.25,Notoacmea 2spokes,TRUE,FALSE,3.33
CapeFoulwind,2006,Summer,Quads_All_species,High,1,5,0.25,Notoacmea Black,TRUE,FALSE,143.33
CapeFoulwind,2006,Summer,Quads_All_species,High,1,5,0.25,Notoacmea Net,TRUE,FALSE,6.66
CapeFoulwind,2006,Summer,Quads_All_species,High,1,5,0.25,Notoacmea Radialspokes,TRUE,FALSE,110
CapeFoulwind,2006,Summer,Quads_All_species,High,1,5,0.25,Patelloida corticata,TRUE,FALSE,2
CapeFoulwind,2006,Summer,Quads_All_species,High,1,5,0.25,Risellopsis varia,TRUE,FALSE,5
CapeFoulwind,2006,Summer,Quads_All_species,High,1,5,0.25,Siphonaria australis,TRUE,FALSE,2
CapeFoulwind,2006,Summer,Quads_All_species,High,1,5,0.25,Sypharochiton pelliserpentis,FALSE,FALSE,1
CapeFoulwind,2006,Summer,Quads_All_species,High,1,5,0.25,Xenostrobus pulex,FALSE,TRUE,50
CapeFoulwind,2006,Summer,Quads_All_species,High,2,1,0.25,Aulacomya atra maoriana,FALSE,TRUE,0.5
CapeFoulwind,2006,Summer,Quads_All_species,High,2,1,0.25,Austrolittorina antipodum,TRUE,FALSE,30
CapeFoulwind,2006,Summer,Quads_All_species,High,2,1,0.25,Austrolittorina cincta,TRUE,FALSE,2430
CapeFoulwind,2006,Summer,Quads_All_species,High,2,1,0.25,Bare Rock,FALSE,TRUE,6
CapeFoulwind,2006,Summer,Quads_All_species,High,2,1,0.25,Calantica spinosa,FALSE,TRUE,1
CapeFoulwind,2006,Summer,Quads_All_species,High,2,1,0.25,Cellana ornata,FALSE,FALSE,1
CapeFoulwind,2006,Summer,Quads_All_species,High,2,1,0.25,Chamaesipho columna,FALSE,TRUE,67
CapeFoulwind,2006,Summer,Quads_All_species,High,2,1,0.25,Coralline Encrusting Paint,FALSE,TRUE,1
CapeFoulwind,2006,Summer,Quads_All_species,High,2,1,0.25,Epopella plicata,FALSE,TRUE,15
CapeFoulwind,2006,Summer,Quads_All_species,High,2,1,0.25,Haustrum scobina,FALSE,FALSE,31
CapeFoulwind,2006,Summer,Quads_All_species,High,2,1,0.25,Mytilus galloprovincialis,FALSE,TRUE,1
CapeFoulwind,2006,Summer,Quads_All_species,High,2,1,0.25,Nereididae spp,FALSE,FALSE,1
CapeFoulwind,2006,Summer,Quads_All_species,High,2,1,0.25,Notoacmea 2spokes,TRUE,FALSE,20
CapeFoulwind,2006,Summer,Quads_All_species,High,2,1,0.25,Notoacmea Black,TRUE,FALSE,30
CapeFoulwind,2006,Summer,Quads_All_species,High,2,1,0.25,Notoacmea Radialspokes,TRUE,FALSE,86.66
CapeFoulwind,2006,Summer,Quads_All_species,High,2,1,0.25,Patelloida corticata,TRUE,FALSE,5
CapeFoulwind,2006,Summer,Quads_All_species,High,2,1,0.25,Risellopsis varia,TRUE,FALSE,3.33
CapeFoulwind,2006,Summer,Quads_All_species,High,2,1,0.25,Siphonaria australis,TRUE,FALSE,3
CapeFoulwind,2006,Summer,Quads_All_species,High,2,1,0.25,Siphonaria eggs,TRUE,FALSE,0.1
CapeFoulwind,2006,Summer,Quads_All_species,High,2,1,0.25,Sypharochiton pelliserpentis,FALSE,FALSE,24
CapeFoulwind,2006,Summer,Quads_All_species,High,2,1,0.25,UNID Macroalgae,FALSE,TRUE,0.5
CapeFoulwind,2006,Summer,Quads_All_species,High,2,1,0.25,Xenostrobus pulex,FALSE,TRUE,8
CapeFoulwind,2006,Summer,Quads_All_species,High,2,2,0.25,Austrolittorina antipodum,TRUE,FALSE,30
CapeFoulwind,2006,Summer,Quads_All_species,High,2,2,0.25,Austrolittorina cincta,TRUE,FALSE,3120
CapeFoulwind,2006,Summer,Quads_All_species,High,2,2,0.25,Bare Rock,FALSE,TRUE,20
CapeFoulwind,2006,Summer,Quads_All_species,High,2,2,0.25,Chamaesipho columna,FALSE,TRUE,55
CapeFoulwind,2006,Summer,Quads_All_species,High,2,2,0.25,Epopella plicata,FALSE,TRUE,25
CapeFoulwind,2006,Summer,Quads_All_species,High,2,2,0.25,Haustrum scobina,FALSE,FALSE,31
CapeFoulwind,2006,Summer,Quads_All_species,High,2,2,0.25,Nereididae spp,FALSE,FALSE,1
CapeFoulwind,2006,Summer,Quads_All_species,High,2,2,0.25,Notoacmea 2spokes,TRUE,FALSE,6.66
CapeFoulwind,2006,Summer,Quads_All_species,High,2,2,0.25,Notoacmea Black,TRUE,FALSE,6.66
CapeFoulwind,2006,Summer,Quads_All_species,High,2,2,0.25,Notoacmea Net,TRUE,FALSE,3.33
CapeFoulwind,2006,Summer,Quads_All_species,High,2,2,0.25,Notoacmea Radialspokes,TRUE,FALSE,76.66
CapeFoulwind,2006,Summer,Quads_All_species,High,2,2,0.25,Patelloida corticata,TRUE,FALSE,2
CapeFoulwind,2006,Summer,Quads_All_species,High,2,2,0.25,Sypharochiton pelliserpentis,FALSE,FALSE,9
CapeFoulwind,2006,Summer,Quads_All_species,High,2,2,0.25,UNID Macroalgae,FALSE,TRUE,1
CapeFoulwind,2006,Summer,Quads_All_species,High,2,2,0.25,Xenostrobus pulex,FALSE,TRUE,0.5
CapeFoulwind,2006,Summer,Quads_All_species,High,2,3,0.25,Austrolittorina antipodum,TRUE,FALSE,10
CapeFoulwind,2006,Summer,Quads_All_species,High,2,3,0.25,Austrolittorina cincta,TRUE,FALSE,940
CapeFoulwind,2006,Summer,Quads_All_species,High,2,3,0.25,Bare Rock,FALSE,TRUE,18
CapeFoulwind,2006,Summer,Quads_All_species,High,2,3,0.25,Calantica villosa,FALSE,TRUE,0.1
CapeFoulwind,2006,Summer,Quads_All_species,High,2,3,0.25,Chamaesipho columna,FALSE,TRUE,49
CapeFoulwind,2006,Summer,Quads_All_species,High,2,3,0.25,Coralline Encrusting Paint,FALSE,TRUE,6
CapeFoulwind,2006,Summer,Quads_All_species,High,2,3,0.25,Epopella plicata,FALSE,TRUE,20
CapeFoulwind,2006,Summer,Quads_All_species,High,2,3,0.25,Haustrum scobina,FALSE,FALSE,32
CapeFoulwind,2006,Summer,Quads_All_species,High,2,3,0.25,Nereididae spp,FALSE,FALSE,2
CapeFoulwind,2006,Summer,Quads_All_species,High,2,3,0.25,Notoacmea 2spokes,TRUE,FALSE,3.33
CapeFoulwind,2006,Summer,Quads_All_species,High,2,3,0.25,Notoacmea Black,TRUE,FALSE,6.66
CapeFoulwind,2006,Summer,Quads_All_species,High,2,3,0.25,Notoacmea Radialspokes,TRUE,FALSE,93.33
CapeFoulwind,2006,Summer,Quads_All_species,High,2,3,0.25,Patelloida corticata,TRUE,FALSE,8
CapeFoulwind,2006,Summer,Quads_All_species,High,2,3,0.25,Plaxiphora caelata,FALSE,FALSE,1
CapeFoulwind,2006,Summer,Quads_All_species,High,2,3,0.25,Risellopsis varia,TRUE,FALSE,6.66
CapeFoulwind,2006,Summer,Quads_All_species,High,2,3,0.25,Siphonaria australis,TRUE,FALSE,2
CapeFoulwind,2006,Summer,Quads_All_species,High,2,3,0.25,Siphonaria eggs,TRUE,FALSE,0.1
CapeFoulwind,2006,Summer,Quads_All_species,High,2,3,0.25,Sypharochiton pelliserpentis,FALSE,FALSE,15
CapeFoulwind,2006,Summer,Quads_All_species,High,2,3,0.25,UNID Macroalgae,FALSE,TRUE,4
CapeFoulwind,2006,Summer,Quads_All_species,High,2,3,0.25,Xenostrobus pulex,FALSE,TRUE,3
CapeFoulwind,2006,Summer,Quads_All_species,High,2,4,0.25,Austrolittorina cincta,TRUE,FALSE,1260
CapeFoulwind,2006,Summer,Quads_All_species,High,2,4,0.25,Bare Rock,FALSE,TRUE,5
CapeFoulwind,2006,Summer,Quads_All_species,High,2,4,0.25,Chamaesipho columna,FALSE,TRUE,68
CapeFoulwind,2006,Summer,Quads_All_species,High,2,4,0.25,Coralline Encrusting Paint,FALSE,TRUE,0.5
CapeFoulwind,2006,Summer,Quads_All_species,High,2,4,0.25,Epopella plicata,FALSE,TRUE,25
CapeFoulwind,2006,Summer,Quads_All_species,High,2,4,0.25,Haustrum scobina,FALSE,FALSE,22
CapeFoulwind,2006,Summer,Quads_All_species,High,2,4,0.25,Notoacmea 2spokes,TRUE,FALSE,10
CapeFoulwind,2006,Summer,Quads_All_species,High,2,4,0.25,Notoacmea Black,TRUE,FALSE,20
CapeFoulwind,2006,Summer,Quads_All_species,High,2,4,0.25,Notoacmea Radialspokes,TRUE,FALSE,140
CapeFoulwind,2006,Summer,Quads_All_species,High,2,4,0.25,Patelloida corticata,TRUE,FALSE,52
CapeFoulwind,2006,Summer,Quads_All_species,High,2,4,0.25,Risellopsis varia,TRUE,FALSE,13.33
CapeFoulwind,2006,Summer,Quads_All_species,High,2,4,0.25,Siphonaria australis,TRUE,FALSE,2
CapeFoulwind,2006,Summer,Quads_All_species,High,2,4,0.25,Siphonaria eggs,TRUE,FALSE,0.1
CapeFoulwind,2006,Summer,Quads_All_species,High,2,4,0.25,Sypharochiton pelliserpentis,FALSE,FALSE,9
CapeFoulwind,2006,Summer,Quads_All_species,High,2,4,0.25,UNID Macroalgae,FALSE,TRUE,2
CapeFoulwind,2006,Summer,Quads_All_species,High,2,4,0.25,UNID Tar,FALSE,TRUE,0.1
CapeFoulwind,2006,Summer,Quads_All_species,High,2,4,0.25,Xenostrobus pulex,FALSE,TRUE,8
CapeFoulwind,2006,Summer,Quads_All_species,High,2,5,0.25,Aulacomya atra maoriana,FALSE,TRUE,0.1
CapeFoulwind,2006,Summer,Quads_All_species,High,2,5,0.25,Austrolittorina antipodum,TRUE,FALSE,70
CapeFoulwind,2006,Summer,Quads_All_species,High,2,5,0.25,Austrolittorina cincta,TRUE,FALSE,2060
CapeFoulwind,2006,Summer,Quads_All_species,High,2,5,0.25,Bare Rock,FALSE,TRUE,7
CapeFoulwind,2006,Summer,Quads_All_species,High,2,5,0.25,Calantica villosa,FALSE,TRUE,1
CapeFoulwind,2006,Summer,Quads_All_species,High,2,5,0.25,Cellana ornata,FALSE,FALSE,2
CapeFoulwind,2006,Summer,Quads_All_species,High,2,5,0.25,Cellana radians,FALSE,FALSE,1
CapeFoulwind,2006,Summer,Quads_All_species,High,2,5,0.25,Chamaesipho columna,FALSE,TRUE,65
CapeFoulwind,2006,Summer,Quads_All_species,High,2,5,0.25,Coralline Encrusting Paint,FALSE,TRUE,0.5
CapeFoulwind,2006,Summer,Quads_All_species,High,2,5,0.25,Epopella plicata,FALSE,TRUE,20
CapeFoulwind,2006,Summer,Quads_All_species,High,2,5,0.25,Haustrum scobina,FALSE,FALSE,49
CapeFoulwind,2006,Summer,Quads_All_species,High,2,5,0.25,Mytilus galloprovincialis,FALSE,TRUE,0.5
CapeFoulwind,2006,Summer,Quads_All_species,High,2,5,0.25,Notoacmea 2spokes,TRUE,FALSE,3.33
CapeFoulwind,2006,Summer,Quads_All_species,High,2,5,0.25,Notoacmea Black,TRUE,FALSE,20
CapeFoulwind,2006,Summer,Quads_All_species,High,2,5,0.25,Notoacmea Radialspokes,TRUE,FALSE,63.33
CapeFoulwind,2006,Summer,Quads_All_species,High,2,5,0.25,Patelloida corticata,TRUE,FALSE,6
CapeFoulwind,2006,Summer,Quads_All_species,High,2,5,0.25,Risellopsis varia,TRUE,FALSE,10
CapeFoulwind,2006,Summer,Quads_All_species,High,2,5,0.25,Sypharochiton pelliserpentis,FALSE,FALSE,12
CapeFoulwind,2006,Summer,Quads_All_species,High,2,5,0.25,UNID Anemone,FALSE,TRUE,1
CapeFoulwind,2006,Summer,Quads_All_species,High,2,5,0.25,Xenostrobus pulex,FALSE,TRUE,5
CapeFoulwind,2006,Summer,Quads_All_species,Mid,1,1,0.25,Aulacomya atra maoriana,FALSE,TRUE,0.1
CapeFoulwind,2006,Summer,Quads_All_species,Mid,1,1,0.25,Austrolittorina antipodum,TRUE,FALSE,3.33
CapeFoulwind,2006,Summer,Quads_All_species,Mid,1,1,0.25,Austrolittorina cincta,TRUE,FALSE,10
CapeFoulwind,2006,Summer,Quads_All_species,Mid,1,1,0.25,Bare Rock,FALSE,TRUE,20
CapeFoulwind,2006,Summer,Quads_All_species,Mid,1,1,0.25,Calantica villosa,FALSE,TRUE,0.5
CapeFoulwind,2006,Summer,Quads_All_species,Mid,1,1,0.25,Chamaesipho columna,FALSE,TRUE,60
CapeFoulwind,2006,Summer,Quads_All_species,Mid,1,1,0.25,Coralline Encrusting Paint,FALSE,TRUE,8
CapeFoulwind,2006,Summer,Quads_All_species,Mid,1,1,0.25,Epopella plicata,FALSE,TRUE,3
CapeFoulwind,2006,Summer,Quads_All_species,Mid,1,1,0.25,Haustrum haustorium,FALSE,FALSE,2
CapeFoulwind,2006,Summer,Quads_All_species,Mid,1,1,0.25,Haustrum scobina,FALSE,FALSE,8
CapeFoulwind,2006,Summer,Quads_All_species,Mid,1,1,0.25,Margarella sp,FALSE,FALSE,1
CapeFoulwind,2006,Summer,Quads_All_species,Mid,1,1,0.25,Mytilus galloprovincialis,FALSE,TRUE,2
CapeFoulwind,2006,Summer,Quads_All_species,Mid,1,1,0.25,Nereididae spp,FALSE,FALSE,2
CapeFoulwind,2006,Summer,Quads_All_species,Mid,1,1,0.25,Notoacmea 2spokes,TRUE,FALSE,3.33
CapeFoulwind,2006,Summer,Quads_All_species,Mid,1,1,0.25,Notoacmea Black,TRUE,FALSE,43.33
CapeFoulwind,2006,Summer,Quads_All_species,Mid,1,1,0.25,Notoacmea Radialspokes,TRUE,FALSE,13.33
CapeFoulwind,2006,Summer,Quads_All_species,Mid,1,1,0.25,Patelloida corticata,TRUE,FALSE,5
CapeFoulwind,2006,Summer,Quads_All_species,Mid,1,1,0.25,Pateriella spp (2),FALSE,FALSE,2
CapeFoulwind,2006,Summer,Quads_All_species,Mid,1,1,0.25,Plaxiphora caelata,FALSE,FALSE,4
CapeFoulwind,2006,Summer,Quads_All_species,Mid,1,1,0.25,Risellopsis varia,TRUE,FALSE,103.33
CapeFoulwind,2006,Summer,Quads_All_species,Mid,1,1,0.25,Sprirorbid sp,FALSE,TRUE,0.1
CapeFoulwind,2006,Summer,Quads_All_species,Mid,1,1,0.25,Sypharochiton pelliserpentis,FALSE,FALSE,21
CapeFoulwind,2006,Summer,Quads_All_species,Mid,1,1,0.25,Trimusculus conicus,FALSE,FALSE,15
CapeFoulwind,2006,Summer,Quads_All_species,Mid,1,1,0.25,UNID Anemone,FALSE,TRUE,1
CapeFoulwind,2006,Summer,Quads_All_species,Mid,1,1,0.25,UNID Macroalgae,FALSE,TRUE,0.1
CapeFoulwind,2006,Summer,Quads_All_species,Mid,1,1,0.25,UNID Tar,FALSE,TRUE,4
CapeFoulwind,2006,Summer,Quads_All_species,Mid,1,1,0.25,Xenostrobus pulex,FALSE,TRUE,6
CapeFoulwind,2006,Summer,Quads_All_species,Mid,1,2,0.25,Aulacomya atra maoriana,FALSE,TRUE,0.5
CapeFoulwind,2006,Summer,Quads_All_species,Mid,1,2,0.25,Austrolittorina cincta,TRUE,FALSE,83.33
CapeFoulwind,2006,Summer,Quads_All_species,Mid,1,2,0.25,Bare Rock,FALSE,TRUE,5
CapeFoulwind,2006,Summer,Quads_All_species,Mid,1,2,0.25,Cellana ornata,FALSE,FALSE,1
CapeFoulwind,2006,Summer,Quads_All_species,Mid,1,2,0.25,Chamaesipho columna,FALSE,TRUE,63
CapeFoulwind,2006,Summer,Quads_All_species,Mid,1,2,0.25,Coralline Encrusting Paint,FALSE,TRUE,3
CapeFoulwind,2006,Summer,Quads_All_species,Mid,1,2,0.25,Diloma bicanaliculata,FALSE,FALSE,3
CapeFoulwind,2006,Summer,Quads_All_species,Mid,1,2,0.25,Epopella plicata,FALSE,TRUE,20
CapeFoulwind,2006,Summer,Quads_All_species,Mid,1,2,0.25,Gravel,FALSE,TRUE,0.5
CapeFoulwind,2006,Summer,Quads_All_species,Mid,1,2,0.25,Haustrum haustorium,FALSE,FALSE,3
CapeFoulwind,2006,Summer,Quads_All_species,Mid,1,2,0.25,Haustrum scobina,FALSE,FALSE,37
CapeFoulwind,2006,Summer,Quads_All_species,Mid,1,2,0.25,Hemigrapsus sexdentatus,FALSE,FALSE,1
CapeFoulwind,2006,Summer,Quads_All_species,Mid,1,2,0.25,Mytilus galloprovincialis,FALSE,TRUE,0.1
CapeFoulwind,2006,Summer,Quads_All_species,Mid,1,2,0.25,Notoacmea 2spokes,TRUE,FALSE,3.33
CapeFoulwind,2006,Summer,Quads_All_species,Mid,1,2,0.25,Notoacmea Black,TRUE,FALSE,6.66
CapeFoulwind,2006,Summer,Quads_All_species,Mid,1,2,0.25,Notoacmea Net,TRUE,FALSE,3.33
CapeFoulwind,2006,Summer,Quads_All_species,Mid,1,2,0.25,Notoacmea Radialspokes,TRUE,FALSE,6.66
CapeFoulwind,2006,Summer,Quads_All_species,Mid,1,2,0.25,Paratrophon patens,FALSE,FALSE,1
CapeFoulwind,2006,Summer,Quads_All_species,Mid,1,2,0.25,Patelloida corticata,TRUE,FALSE,2
CapeFoulwind,2006,Summer,Quads_All_species,Mid,1,2,0.25,Perna canaliculus,FALSE,TRUE,0.1
CapeFoulwind,2006,Summer,Quads_All_species,Mid,1,2,0.25,Risellopsis varia,TRUE,FALSE,56.66
CapeFoulwind,2006,Summer,Quads_All_species,Mid,1,2,0.25,Sypharochiton pelliserpentis,FALSE,FALSE,9
CapeFoulwind,2006,Summer,Quads_All_species,Mid,1,2,0.25,UNID Anemone,FALSE,TRUE,2
CapeFoulwind,2006,Summer,Quads_All_species,Mid,1,2,0.25,UNID Macroalgae,FALSE,TRUE,0.1
CapeFoulwind,2006,Summer,Quads_All_species,Mid,1,2,0.25,UNID Tar,FALSE,TRUE,0.5
CapeFoulwind,2006,Summer,Quads_All_species,Mid,1,2,0.25,Xenostrobus pulex,FALSE,TRUE,8
CapeFoulwind,2006,Summer,Quads_All_species,Mid,1,3,0.25,Austrolittorina cincta,TRUE,FALSE,330
CapeFoulwind,2006,Summer,Quads_All_species,Mid,1,3,0.25,Bare Rock,FALSE,TRUE,8
CapeFoulwind,2006,Summer,Quads_All_species,Mid,1,3,0.25,Cellana ornata,FALSE,FALSE,2
CapeFoulwind,2006,Summer,Quads_All_species,Mid,1,3,0.25,Cellana radians,FALSE,FALSE,4
