Site,RecountNum,ElapsedDays,Block,Plot,Trtmt,SubsampleSize,Xenostrobus pulex COUNT,Xenostrobus pulex DEADCOUNT
CapeFoulwind,1,178,E,1,+ Pred dPrey,1,394,4
CapeFoulwind,1,178,E,2,- Pred,1,1110,2
CapeFoulwind,1,178,E,3,Ctrl,1,430,5
CapeFoulwind,1,178,E,4,- Pred dPrey,1,641,3
CapeFoulwind,1,178,E,5,Bare Ctrl,1,27,
CapeFoulwind,1,178,E,6,+ Pred,1,746,5
CapeFoulwind,1,178,F,1,Bare Ctrl,1,2,
CapeFoulwind,1,178,F,2,+ Pred dPrey,1,523,3
CapeFoulwind,1,178,F,4,+ Pred,1,648,7
CapeFoulwind,2,178,F,4,+ Pred,1,672,
CapeFoulwind,1,178,F,5,Ctrl,1,611,1
CapeFoulwind,1,178,F,6,- Pred dPrey,1,429,
CapeFoulwind,1,280,A,1,Bare Ctrl,1,0,
CapeFoulwind,1,280,A,2,Ctrl,1,525,
CapeFoulwind,1,280,A,3,- Pred,1,711,
CapeFoulwind,2,280,A,3,- Pred,1,766,
CapeFoulwind,1,280,A,4,+ Pred dPrey,1,382,
CapeFoulwind,1,280,A,5,- Pred dPrey,1,499,
CapeFoulwind,1,280,A,6,+ Pred,1,768,
CapeFoulwind,1,280,B,1,+ Pred dPrey,1,612,
CapeFoulwind,1,280,B,2,- Pred,1,1027,
CapeFoulwind,1,280,B,3,Bare Ctrl,1,2
CapeFoulwind,1,280,B,4,+ Pred,1,658
CapeFoulwind,2,280,B,4,+ Pred,1,611
CapeFoulwind,1,280,B,5,Ctrl,1,395
CapeFoulwind,1,280,B,6,- Pred dPrey,1,265
CapeFoulwind,1,280,C,1,Bare Ctrl,1,3
CapeFoulwind,1,280,C,2,+ Pred dPrey,1,280
CapeFoulwind,1,280,C,3,- Pred,1,376
CapeFoulwind,1,280,C,4,- Pred dPrey,1,530
CapeFoulwind,1,280,C,5,Ctrl,1,77
CapeFoulwind,1,280,C,6,+ Pred,1,343
CapeFoulwind,1,280,D,1,+ Pred,1,682
CapeFoulwind,1,280,D,2,Bare Ctrl,1,1
CapeFoulwind,1,280,D,3,Ctrl,1,798
CapeFoulwind,1,280,D,4,- Pred,1,393
CapeFoulwind,1,280,D,5,+ Pred dPrey,1,438
CapeFoulwind,1,280,D,6,- Pred dPrey,1,752,
CapeFoulwind,1,280,E,1,+ Pred dPrey,1,374,
CapeFoulwind,1,280,E,2,- Pred,1,939,
CapeFoulwind,2,280,E,2,- Pred,1,1041,
CapeFoulwind,1,280,E,3,Ctrl,1,168,
CapeFoulwind,1,280,E,4,- Pred dPrey,1,695,
CapeFoulwind,1,280,E,5,Bare Ctrl,1,17,
CapeFoulwind,1,280,E,6,+ Pred,1,676,
CapeFoulwind,1,280,F,1,Bare Ctrl,1,2,
CapeFoulwind,1,280,F,2,+ Pred dPrey,1,469,
CapeFoulwind,1,280,F,4,+ Pred,1,609,
CapeFoulwind,2,280,F,4,+ Pred,1,616,
CapeFoulwind,1,280,F,5,Ctrl,1,535,
CapeFoulwind,1,280,F,6,- Pred dPrey,1,416,
CapeFoulwind,1,338,A,1,Bare Ctrl,1,0,
CapeFoulwind,1,338,A,2,Ctrl,1,564,12
CapeFoulwind,1,338,A,3,- Pred,1,765,1
CapeFoulwind,1,338,A,4,+ Pred dPrey,1,407,4
CapeFoulwind,1,338,A,5,- Pred dPrey,1,561,
CapeFoulwind,1,338,A,6,+ Pred,1,732,6
CapeFoulwind,1,338,B,1,+ Pred dPrey,1,773,
CapeFoulwind,1,338,B,2,- Pred,1,1066,7
CapeFoulwind,2,338,B,2,- Pred,1,1056,
CapeFoulwind,1,338,B,3,Bare Ctrl,1,7,
CapeFoulwind,1,338,B,4,+ Pred,1,790,3
CapeFoulwind,1,338,B,5,Ctrl,1,440,2
CapeFoulwind,1,338,B,6,- Pred dPrey,1,291,8
CapeFoulwind,1,338,C,1,Bare Ctrl,1,3,
CapeFoulwind,1,338,C,2,+ Pred dPrey,1,340,8
CapeFoulwind,1,338,C,3,- Pred,1,465,2
CapeFoulwind,1,338,C,4,- Pred dPrey,1,593,
CapeFoulwind,1,338,C,5,Ctrl,1,113,2
CapeFoulwind,1,338,C,6,+ Pred,1,363,10
CapeFoulwind,1,338,D,1,+ Pred,1,710,4
CapeFoulwind,1,338,D,2,Bare Ctrl,1,10,
CapeFoulwind,1,338,D,3,Ctrl,1,677,4
CapeFoulwind,1,338,D,4,- Pred,1,361,
CapeFoulwind,2,338,D,4,- Pred,1,389,
CapeFoulwind,1,338,D,5,+ Pred dPrey,1,423,2
CapeFoulwind,1,338,D,6,- Pred dPrey,1,757,6
CapeFoulwind,1,338,E,1,+ Pred dPrey,1,471,4
CapeFoulwind,1,338,E,2,- Pred,1,1037,3
CapeFoulwind,1,338,E,3,Ctrl,1,200,5
CapeFoulwind,1,338,E,4,- Pred dPrey,1,775,3
CapeFoulwind,1,338,E,5,Bare Ctrl,1,35,
CapeFoulwind,1,338,E,6,+ Pred,1,754,5
CapeFoulwind,1,338,F,1,Bare Ctrl,1,1,
CapeFoulwind,1,338,F,2,+ Pred dPrey,1,659,2
CapeFoulwind,1,338,F,4,+ Pred,1,614,1
CapeFoulwind,2,338,F,4,+ Pred,1,655,
CapeFoulwind,1,338,F,5,Ctrl,1,548,
CapeFoulwind,1,338,F,6,- Pred dPrey,1,439,
TaurangaHead,1,0,A,1,- Pred,1,468,9
TaurangaHead,2,0,A,1,- Pred,1,474,
TaurangaHead,1,0,A,2,Bare Ctrl,1,725,5
TaurangaHead,1,0,A,3,Ctrl,1,579,4
TaurangaHead,1,0,A,4,+ Pred,1,592,
TaurangaHead,1,0,B,1,Bare Ctrl,1,358,7
TaurangaHead,1,0,B,2,Ctrl,1,586,1
TaurangaHead,1,0,B,3,- Pred,1,820,1
TaurangaHead,2,0,B,3,- Pred,1,815,
TaurangaHead,1,0,B,4,+ Pred,1,612,4
TaurangaHead,1,0,C,1,Bare Ctrl,1,599,22
TaurangaHead,1,0,C,2,+ Pred,1,512,9
TaurangaHead,2,0,C,2,+ Pred,1,509,
TaurangaHead,1,0,C,3,Ctrl,1,649,16
TaurangaHead,1,0,C,4,- Pred,1,656,4
TaurangaHead,1,0,D,1,Bare Ctrl,1,100,2
TaurangaHead,1,0,D,2,+ Pred,1,396,10
TaurangaHead,2,0,D,2,+ Pred,1,410,
TaurangaHead,1,0,D,3,- Pred,1,126,
TaurangaHead,1,0,D,4,Ctrl,1,247,2
TaurangaHead,1,0,E,1,+ Pred,1,554,27
TaurangaHead,1,0,E,2,Bare Ctrl,1,668,59
TaurangaHead,1,0,E,3,Ctrl,1,763,12
TaurangaHead,1,0,E,4,- Pred,1,730,45
TaurangaHead,1,0,F,1,+ Pred,1,438,3
TaurangaHead,1,0,F,2,Ctrl,1,303,7
TaurangaHead,1,0,F,3,- Pred,1,604,12
TaurangaHead,1,0,F,4,Bare Ctrl,1,314,1
TaurangaHead,1,178,A,1,- Pred,1,495,6
TaurangaHead,1,178,A,2,Bare Ctrl,1,5,
TaurangaHead,1,178,A,3,Ctrl,1,663,6
TaurangaHead,1,178,A,4,+ Pred,1,530,14
TaurangaHead,1,178,B,1,Bare Ctrl,1,15,
TaurangaHead,1,178,B,2,Ctrl,1,665,10
TaurangaHead,1,178,B,3,- Pred,1,934,3
TaurangaHead,2,178,B,3,- Pred,1,1026,
TaurangaHead,1,178,B,4,+ Pred,1,647,9
TaurangaHead,1,178,C,1,Bare Ctrl,1,21,
TaurangaHead,1,178,C,2,+ Pred,1,517,16
TaurangaHead,1,178,C,3,Ctrl,1,738,6
TaurangaHead,1,178,C,4,- Pred,1,954,16
TaurangaHead,1,178,D,1,Bare Ctrl,1,48,2
TaurangaHead,1,178,D,2,+ Pred,1,507,
TaurangaHead,1,178,D,3,- Pred,1,251,5
TaurangaHead,2,178,D,3,- Pred,1,234,
TaurangaHead,1,178,D,4,Ctrl,1,265,3
TaurangaHead,1,178,E,1,+ Pred,1,559,51
TaurangaHead,2,178,E,1,+ Pred,1,633,
TaurangaHead,1,178,E,2,Bare Ctrl,1,26,
TaurangaHead,1,178,E,3,Ctrl,1,741,
TaurangaHead,1,178,E,4,- Pred,1,851,4
TaurangaHead,1,178,F,1,+ Pred,1,791,8
TaurangaHead,1,178,F,2,Ctrl,1,420,9
TaurangaHead,1,178,F,3,- Pred,1,792,20
TaurangaHead,2,178,F,3,- Pred,1,872,
TaurangaHead,1,178,F,4,Bare Ctrl,1,27,
TaurangaHead,1,280,A,1,- Pred,1,535,
TaurangaHead,1,280,A,2,Bare Ctrl,1,3,
TaurangaHead,1,280,A,3,Ctrl,1,652,
TaurangaHead,1,280,A,4,+ Pred,1,541,
TaurangaHead,2,280,A,4,+ Pred,1,580
TaurangaHead,1,280,B,1,Bare Ctrl,1,8
TaurangaHead,1,280,B,2,Ctrl,1,558
TaurangaHead,1,280,B,3,- Pred,1,900
TaurangaHead,1,280,B,4,+ Pred,1,573
TaurangaHead,2,280,B,4,+ Pred,1,662
TaurangaHead,1,280,C,1,Bare Ctrl,1,7
TaurangaHead,1,280,C,2,+ Pred,1,533
TaurangaHead,1,280,C,3,Ctrl,1,786
TaurangaHead,1,280,C,4,- Pred,1,1110
TaurangaHead,1,280,D,1,Bare Ctrl,1,55
TaurangaHead,1,280,D,2,+ Pred,1,577
TaurangaHead,1,280,D,3,- Pred,1,470
TaurangaHead,2,280,D,3,- Pred,1,419
TaurangaHead,1,280,D,4,Ctrl,1,333
TaurangaHead,1,280,E,1,+ Pred,1,664
TaurangaHead,1,280,E,2,Bare Ctrl,1,17,
TaurangaHead,1,280,E,3,Ctrl,1,679,
TaurangaHead,1,280,E,4,- Pred,1,923,
TaurangaHead,2,280,E,4,- Pred,1,899,
TaurangaHead,1,280,F,1,+ Pred,1,745,
TaurangaHead,1,280,F,2,Ctrl,1,298,
TaurangaHead,1,280,F,3,- Pred,1,769,
TaurangaHead,2,280,F,3,- Pred,1,768,
TaurangaHead,1,280,F,4,Bare Ctrl,1,17,
TaurangaHead,1,338,A,1,- Pred,1,535,6
TaurangaHead,1,338,A,2,Bare Ctrl,1,5,
TaurangaHead,1,338,A,3,Ctrl,1,617,3
TaurangaHead,1,338,A,4,+ Pred,1,601,7
TaurangaHead,1,338,B,1,Bare Ctrl,1,13,1
TaurangaHead,1,338,B,2,Ctrl,1,543,4
TaurangaHead,1,338,B,3,- Pred,1,952,22
TaurangaHead,1,338,B,4,+ Pred,1,628,28
TaurangaHead,1,338,C,1,Bare Ctrl,1,9,
TaurangaHead,1,338,C,2,+ Pred,1,583,9
TaurangaHead,1,338,C,3,Ctrl,1,706,8
TaurangaHead,1,338,C,4,- Pred,1,1025,5
TaurangaHead,1,338,D,1,Bare Ctrl,1,37,
TaurangaHead,1,338,D,2,+ Pred,1,562,10
TaurangaHead,1,338,D,3,- Pred,1,446,5
TaurangaHead,1,338,D,4,Ctrl,1,293,2
TaurangaHead,1,338,E,1,+ Pred,1,644,15
TaurangaHead,2,338,E,1,+ Pred,1,618,
TaurangaHead,1,338,E,2,Bare Ctrl,1,27,
TaurangaHead,1,338,E,3,Ctrl,1,644,14
TaurangaHead,1,338,E,4,- Pred,1,839,6
TaurangaHead,1,338,F,1,+ Pred,1,733,9
TaurangaHead,2,338,F,1,+ Pred,1,766,
TaurangaHead,1,338,F,2,Ctrl,1,256,3
TaurangaHead,1,338,F,3,- Pred,1,805,6
TaurangaHead,2,338,F,3,- Pred,1,805,
TaurangaHead,1,338,F,4,Bare Ctrl,1,45,
