Site,Picture,Species,Indiv,Area,Length
PaiaPoint,3535,Chamaesipho columna,3,3.606,2.369
PaiaPoint,3535,Chamaesipho columna,4,2.84,1.916
PaiaPoint,3535,Chamaesipho columna,5,2.054,1.324
PaiaPoint,3535,Chamaesipho columna,6,0.621,0.929
PaiaPoint,3535,Chamaesipho columna,7,0.917,1.045
PaiaPoint,3535,Chamaesipho columna,8,0.614,1.162
PaiaPoint,3535,Chamaesipho columna,9,2.563,1.742
PaiaPoint,3535,Chamaesipho columna,10,2.371,1.63
PaiaPoint,3535,Chamaesipho columna,11,2.84,1.746
PaiaPoint,3535,Chamaesipho columna,12,3.295,2.323
PaiaPoint,3535,Chamaesipho columna,13,2.536,2.078
PaiaPoint,3535,Chamaesipho columna,14,2.098,1.324
PaiaPoint,3535,Chamaesipho columna,15,2.82,1.626
PaiaPoint,3535,Chamaesipho columna,16,2.638,1.777
PaiaPoint,3535,Chamaesipho columna,17,3.42,1.923
PaiaPoint,3535,Chamaesipho columna,18,0.975,1.975
PaiaPoint,3535,Chamaesipho columna,19,0.381,0.907
PaiaPoint,3535,Chamaesipho columna,20,3.16,2.219
PaiaPoint,3535,Chamaesipho columna,21,3.845,2.323
PaiaPoint,3535,Chamaesipho columna,22,2.992,2.219
PaiaPoint,3535,Chamaesipho columna,23,3.144,2.234
PaiaPoint,3535,Chamaesipho columna,24,2,1.873
PaiaPoint,3535,Chamaesipho columna,25,0.523,0.999
PaiaPoint,3535,Chamaesipho columna,26,2.793,1.978
PaiaPoint,3535,Chamaesipho columna,27,3.68,0.929
PaiaPoint,3535,Chamaesipho columna,28,0.901,0.744
PaiaPoint,3535,Chamaesipho columna,29,1.622,1.746
PaiaPoint,3535,Chamaesipho columna,30,1.936,1.769
Rakautara,3602,Chamaesipho columna,1,1.819,1.892
Rakautara,3602,Chamaesipho columna,2,0.612,0.933
Rakautara,3602,Chamaesipho columna,3,2.098,1.671
Rakautara,3602,Chamaesipho columna,4,2.328,1.719
Rakautara,3602,Chamaesipho columna,5,1.162,1.433
Rakautara,3602,Chamaesipho columna,6,1.166,1.087
Rakautara,3602,Chamaesipho columna,7,1.146,1.585
Rakautara,3602,Chamaesipho columna,8,1.17,1.146
Rakautara,3602,Chamaesipho columna,9,1.105,1.269
Rakautara,3602,Chamaesipho columna,10,1.125,1.102
Rakautara,3602,Chamaesipho columna,11,1.885,1.822
Rakautara,3602,Chamaesipho columna,12,2.345,1.905
Rakautara,3602,Chamaesipho columna,13,1.339,1.182
Rakautara,3602,Chamaesipho columna,14,1.893,1.45
Rakautara,3602,Chamaesipho columna,15,1.503,1.564
Rakautara,3602,Chamaesipho columna,16,1.577,1.559
Rakautara,3602,Chamaesipho columna,17,1.733,1.905
Rakautara,3602,Chamaesipho columna,18,1.363,1.461
Rakautara,3602,Chamaesipho columna,19,0.361,0.897
Rakautara,3602,Chamaesipho columna,20,0.797,0.933
Rakautara,3602,Chamaesipho columna,21,1.68,1.564
Rakautara,3602,Chamaesipho columna,22,0.074,0.362
Rakautara,3602,Chamaesipho columna,23,1.68,1.71
Rakautara,3602,Chamaesipho columna,24,0.374,0.86
Rakautara,3602,Chamaesipho columna,25,1.462,1.216
Rakautara,3602,Chamaesipho columna,26,1.877,1.153
Rakautara,3602,Chamaesipho columna,27,0.205,0.573
Rakautara,3602,Chamaesipho columna,28,1.265,1.362
Rakautara,3602,Chamaesipho columna,29,1.17,1.495
Rakautara,3602,Chamaesipho columna,30,2.489,2.002
TaurangaHead,3646,Chamaesipho columna,1,1.984,2.158
TaurangaHead,3646,Chamaesipho columna,2,0.992,1.592
TaurangaHead,3646,Chamaesipho columna,3,2.03,2.048
TaurangaHead,3646,Chamaesipho columna,4,0.671,2.199
TaurangaHead,3646,Chamaesipho columna,5,1.661,1.083
TaurangaHead,3646,Chamaesipho columna,6,2.55,2.469
TaurangaHead,3646,Chamaesipho columna,7,0.776,0.654
TaurangaHead,3646,Chamaesipho columna,8,0.349,0.472
TaurangaHead,3646,Chamaesipho columna,9,0.45,1.777
TaurangaHead,3646,Chamaesipho columna,10,0.571,1.908
TaurangaHead,3646,Chamaesipho columna,11,1.331,1.729
TaurangaHead,3646,Chamaesipho columna,12,1.062,1.721
TaurangaHead,3646,Chamaesipho columna,13,0.706,1.366
TaurangaHead,3646,Chamaesipho columna,14,1.252,0.925
TaurangaHead,3646,Chamaesipho columna,15,2.359,1.853
TaurangaHead,3646,Chamaesipho columna,16,1.689,2.223
TaurangaHead,3646,Chamaesipho columna,17,2.209,1.78
TaurangaHead,3646,Chamaesipho columna,18,4.249,2.591
TaurangaHead,3646,Chamaesipho columna,19,2.327,1.952
TaurangaHead,3646,Chamaesipho columna,20,0.36,0.873
TaurangaHead,3646,Chamaesipho columna,21,2.609,1.862
TaurangaHead,3646,Chamaesipho columna,22,3.808,2.199
TaurangaHead,3646,Chamaesipho columna,23,2.051,1.721
TaurangaHead,3646,Chamaesipho columna,24,2.483,1.887
TaurangaHead,3646,Chamaesipho columna,25,3.134,1.908
TaurangaHead,3646,Chamaesipho columna,26,2.089,2.029
TaurangaHead,3646,Chamaesipho columna,27,0.4,1.022
TaurangaHead,3646,Chamaesipho columna,28,2.84,2.088
TaurangaHead,3646,Chamaesipho columna,29,1.702,1.206
TaurangaHead,3646,Chamaesipho columna,30,0.7,1.647
CapeFoulwind,3713,Chamaesipho columna,1,2.428,2.113
CapeFoulwind,3713,Chamaesipho columna,2,1.967,1.928
CapeFoulwind,3713,Chamaesipho columna,3,3.067,2.375
CapeFoulwind,3713,Chamaesipho columna,4,3.628,2.715
CapeFoulwind,3713,Chamaesipho columna,5,2.325,2.121
CapeFoulwind,3713,Chamaesipho columna,6,1.993,1.696
CapeFoulwind,3713,Chamaesipho columna,7,1.478,1.67
CapeFoulwind,3713,Chamaesipho columna,8,1.435,1.726
CapeFoulwind,3713,Chamaesipho columna,9,3.073,2.129
CapeFoulwind,3713,Chamaesipho columna,10,2.102,1.696
CapeFoulwind,3713,Chamaesipho columna,11,3.136,2.355
CapeFoulwind,3713,Chamaesipho columna,12,1.234,2.43
CapeFoulwind,3713,Chamaesipho columna,13,2.778,2.089
CapeFoulwind,3713,Chamaesipho columna,14,2.858,2.1
CapeFoulwind,3713,Chamaesipho columna,15,2.723,0.79
CapeFoulwind,3713,Chamaesipho columna,16,2.592,2.08
CapeFoulwind,3713,Chamaesipho columna,17,2.297,1.926
CapeFoulwind,3713,Chamaesipho columna,18,3.631,2.372
CapeFoulwind,3713,Chamaesipho columna,19,3.7,2.522
CapeFoulwind,3713,Chamaesipho columna,20,0.707,1.231
CapeFoulwind,3713,Chamaesipho columna,21,1.578,1.517
CapeFoulwind,3713,Chamaesipho columna,22,3.694,2.514
CapeFoulwind,3713,Chamaesipho columna,23,2.468,1.679
CapeFoulwind,3713,Chamaesipho columna,24,2.285,1.788
CapeFoulwind,3713,Chamaesipho columna,25,1.214,1.941
CapeFoulwind,3713,Chamaesipho columna,26,1.529,1.726
CapeFoulwind,3713,Chamaesipho columna,27,1.658,1.464
CapeFoulwind,3713,Chamaesipho columna,28,0.845,1.861
CapeFoulwind,3713,Chamaesipho columna,29,1.521,1.009
CapeFoulwind,3713,Chamaesipho columna,30,1.515,1.029
